,MATCH_ID,SCORE
0,Matches/MatchScorecard_ODI.asp?MatchCode=3007,20
3,Matches/MatchScorecard_ODI.asp?MatchCode=3089,8
6,Matches/MatchScorecard_ODI.asp?MatchCode=3142,24
8,Matches/MatchScorecard_ODI.asp?MatchCode=3149,32
9,Matches/MatchScorecard_ODI.asp?MatchCode=3153,8
10,Matches/MatchScorecard_ODI.asp?MatchCode=3164,36
11,Matches/MatchScorecard_ODI.asp?MatchCode=3166,8
12,Matches/MatchScorecard_ODI.asp?MatchCode=3183,16
13,Matches/MatchScorecard_ODI.asp?MatchCode=3185,8
14,Matches/MatchScorecard_ODI.asp?MatchCode=3309,44
19,Matches/MatchScorecard_ODI.asp?MatchCode=3421,16
20,Matches/MatchScorecard_ODI.asp?MatchCode=3437,20
21,Matches/MatchScorecard_ODI.asp?MatchCode=3482,24
23,Matches/MatchScorecard_ODI.asp?MatchCode=3560,28
26,Matches/MatchScorecard_ODI.asp?MatchCode=3623,8
29,Matches/MatchScorecard_ODI.asp?MatchCode=3843,8
32,Matches/MatchScorecard_ODI.asp?MatchCode=3849,20
33,Matches/MatchScorecard_ODI.asp?MatchCode=3850,32
35,Matches/MatchScorecard_ODI.asp?MatchCode=3867,12
36,Matches/MatchScorecard_ODI.asp?MatchCode=3869,16
38,Matches/MatchScorecard_ODI.asp?MatchCode=3873,12
40,Matches/MatchScorecard_ODI.asp?MatchCode=3913,12
41,Matches/MatchScorecard_ODI.asp?MatchCode=3915,16
43,Matches/MatchScorecard_ODI.asp?MatchCode=3917,32
47,Matches/MatchScorecard_ODI.asp?MatchCode=3941,28
49,Matches/MatchScorecard_ODI.asp?MatchCode=3993,20
50,Matches/MatchScorecard_ODI.asp?MatchCode=3994,12
51,Matches/MatchScorecard_ODI.asp?MatchCode=3996,8
52,Matches/MatchScorecard_ODI.asp?MatchCode=3998,8
53,Matches/MatchScorecard_ODI.asp?MatchCode=4006,20
54,Matches/MatchScorecard_ODI.asp?MatchCode=4007,12
55,Matches/MatchScorecard_ODI.asp?MatchCode=4008,8
56,Matches/MatchScorecard_ODI.asp?MatchCode=4009,12
57,Matches/MatchScorecard_ODI.asp?MatchCode=4010,16
59,Matches/MatchScorecard_ODI.asp?MatchCode=4131,8
60,Matches/MatchScorecard_ODI.asp?MatchCode=4132,8
63,Matches/MatchScorecard_ODI.asp?MatchCode=4140,12
64,Matches/MatchScorecard_ODI.asp?MatchCode=4145,8
66,Matches/MatchScorecard_ODI.asp?MatchCode=4160,16
67,Matches/MatchScorecard_ODI.asp?MatchCode=4163,16
68,Matches/MatchScorecard_ODI.asp?MatchCode=4164,16
69,Matches/MatchScorecard_ODI.asp?MatchCode=4190,12
70,Matches/MatchScorecard_ODI.asp?MatchCode=4192,16
72,Matches/MatchScorecard_ODI.asp?MatchCode=4198,8
73,Matches/MatchScorecard_ODI.asp?MatchCode=4200,12
74,Matches/MatchScorecard_ODI.asp?MatchCode=4202,8
75,Matches/MatchScorecard_ODI.asp?MatchCode=4203,8
77,Matches/MatchScorecard_ODI.asp?MatchCode=4262,12
79,Matches/MatchScorecard_ODI.asp?MatchCode=4290,8
80,Matches/MatchScorecard_ODI.asp?MatchCode=4299,8
81,Matches/MatchScorecard_ODI.asp?MatchCode=4301,8
83,Matches/MatchScorecard_ODI.asp?MatchCode=4309,16
