,MATCH_ID,SCORE
0,Matches/MatchScorecard_ODI.asp?MatchCode=2361,8
1,Matches/MatchScorecard_ODI.asp?MatchCode=2362,12
2,Matches/MatchScorecard_ODI.asp?MatchCode=2364,8
3,Matches/MatchScorecard_ODI.asp?MatchCode=2365,8
4,Matches/MatchScorecard_ODI.asp?MatchCode=2431,8
5,Matches/MatchScorecard_ODI.asp?MatchCode=2434,8
6,Matches/MatchScorecard_ODI.asp?MatchCode=2436,8
7,Matches/MatchScorecard_ODI.asp?MatchCode=2441,8
8,Matches/MatchScorecard_ODI.asp?MatchCode=2445,24
9,Matches/MatchScorecard_ODI.asp?MatchCode=2469,8
10,Matches/MatchScorecard_ODI.asp?MatchCode=2470,16
11,Matches/MatchScorecard_ODI.asp?MatchCode=2472,8
13,Matches/MatchScorecard_ODI.asp?MatchCode=2484,16
14,Matches/MatchScorecard_ODI.asp?MatchCode=2566,40
15,Matches/MatchScorecard_ODI.asp?MatchCode=2569,8
19,Matches/MatchScorecard_ODI.asp?MatchCode=2592,8
20,Matches/MatchScorecard_ODI.asp?MatchCode=2594,8
21,Matches/MatchScorecard_ODI.asp?MatchCode=2600,12
22,Matches/MatchScorecard_ODI.asp?MatchCode=2638,24
24,Matches/MatchScorecard_ODI.asp?MatchCode=2658,32
25,Matches/MatchScorecard_ODI.asp?MatchCode=2662,16
27,Matches/MatchScorecard_ODI.asp?MatchCode=2667,8
28,Matches/MatchScorecard_ODI.asp?MatchCode=2674,8
29,Matches/MatchScorecard_ODI.asp?MatchCode=2683,16
31,Matches/MatchScorecard_ODI.asp?MatchCode=2702,16
32,Matches/MatchScorecard_ODI.asp?MatchCode=2707,16
33,Matches/MatchScorecard_ODI.asp?MatchCode=2709,16
34,Matches/MatchScorecard_ODI.asp?MatchCode=2710,40
35,Matches/MatchScorecard_ODI.asp?MatchCode=2712,16
36,Matches/MatchScorecard_ODI.asp?MatchCode=2714,8
37,Matches/MatchScorecard_ODI.asp?MatchCode=2760,16
38,Matches/MatchScorecard_ODI.asp?MatchCode=2762,40
39,Matches/MatchScorecard_ODI.asp?MatchCode=2764,16
40,Matches/MatchScorecard_ODI.asp?MatchCode=2765,20
41,Matches/MatchScorecard_ODI.asp?MatchCode=2773,8
42,Matches/MatchScorecard_ODI.asp?MatchCode=2776,24
46,Matches/MatchScorecard_ODI.asp?MatchCode=2813,20
47,Matches/MatchScorecard_ODI.asp?MatchCode=2825,8
49,Matches/MatchScorecard_ODI.asp?MatchCode=2846,16
50,Matches/MatchScorecard_ODI.asp?MatchCode=2848,32
52,Matches/MatchScorecard_ODI.asp?MatchCode=2909,16
54,Matches/MatchScorecard_ODI.asp?MatchCode=2911,16
55,Matches/MatchScorecard_ODI.asp?MatchCode=2914,8
56,Matches/MatchScorecard_ODI.asp?MatchCode=2948,8
57,Matches/MatchScorecard_ODI.asp?MatchCode=2949,8
58,Matches/MatchScorecard_ODI.asp?MatchCode=2950,8
60,Matches/MatchScorecard_ODI.asp?MatchCode=2955,8
62,Matches/MatchScorecard_ODI.asp?MatchCode=2974,12
63,Matches/MatchScorecard_ODI.asp?MatchCode=2975,24
