,MATCH_ID,SCORE
0,Matches/MatchScorecard_ODI.asp?MatchCode=3960,8
1,Matches/MatchScorecard_ODI.asp?MatchCode=3961,8
2,Matches/MatchScorecard_ODI.asp?MatchCode=3963,8
3,Matches/MatchScorecard_ODI.asp?MatchCode=3964,16
5,Matches/MatchScorecard_ODI.asp?MatchCode=4004,16
8,Matches/MatchScorecard_ODI.asp?MatchCode=4018,36
9,Matches/MatchScorecard_ODI.asp?MatchCode=4019,8
10,Matches/MatchScorecard_ODI.asp?MatchCode=4040,16
11,Matches/MatchScorecard_ODI.asp?MatchCode=4043,16
14,Matches/MatchScorecard_ODI.asp?MatchCode=4052,20
16,Matches/MatchScorecard_ODI.asp?MatchCode=4056,32
18,Matches/MatchScorecard_ODI.asp?MatchCode=4068,8
20,Matches/MatchScorecard_ODI.asp?MatchCode=4072,8
21,Matches/MatchScorecard_ODI.asp?MatchCode=4073,24
23,Matches/MatchScorecard_ODI.asp?MatchCode=4100,8
24,Matches/MatchScorecard_ODI.asp?MatchCode=4101,16
25,Matches/MatchScorecard_ODI.asp?MatchCode=4102,12
27,Matches/MatchScorecard_ODI.asp?MatchCode=4148,16
28,Matches/MatchScorecard_ODI.asp?MatchCode=4150,8
30,Matches/MatchScorecard_ODI.asp?MatchCode=4159,8
32,Matches/MatchScorecard_ODI.asp?MatchCode=4164,12
33,Matches/MatchScorecard_ODI.asp?MatchCode=4179,12
34,Matches/MatchScorecard_ODI.asp?MatchCode=4180,12
36,Matches/MatchScorecard_ODI.asp?MatchCode=4213,12
38,Matches/MatchScorecard_ODI.asp?MatchCode=4219,28
39,Matches/MatchScorecard_ODI.asp?MatchCode=4220,8
41,Matches/MatchScorecard_ODI.asp?MatchCode=4228,8
42,Matches/MatchScorecard_ODI.asp?MatchCode=4229,16
44,Matches/MatchScorecard_ODI.asp?MatchCode=4253,8
45,Matches/MatchScorecard_ODI.asp?MatchCode=4254,24
47,Matches/MatchScorecard_ODI.asp?MatchCode=4256,8
48,Matches/MatchScorecard_ODI.asp?MatchCode=4260,32
49,Matches/MatchScorecard_ODI.asp?MatchCode=4285,12
51,Matches/MatchScorecard_ODI.asp?MatchCode=4291,8
54,Matches/MatchScorecard_ODI.asp?MatchCode=4304,32
55,Matches/MatchScorecard_ODI.asp?MatchCode=4312,32
56,Matches/MatchScorecard_ODI.asp?MatchCode=4317,8
58,Matches/MatchScorecard_ODI.asp?MatchCode=4325,8
59,Matches/MatchScorecard_ODI.asp?MatchCode=4333,8
60,Matches/MatchScorecard_ODI.asp?MatchCode=4338,32
61,Matches/MatchScorecard_ODI.asp?MatchCode=4344,8
66,Matches/MatchScorecard_ODI.asp?MatchCode=4377,8
67,Matches/MatchScorecard_ODI.asp?MatchCode=4378,12
70,Matches/MatchScorecard_ODI.asp?MatchCode=4387,16
71,Matches/MatchScorecard_ODI.asp?MatchCode=4388,16
72,Matches/MatchScorecard_ODI.asp?MatchCode=4391,44
73,Matches/MatchScorecard_ODI.asp?MatchCode=4394,8
74,Matches/MatchScorecard_ODI.asp?MatchCode=4397,8
75,Matches/MatchScorecard_ODI.asp?MatchCode=4413,32
76,Matches/MatchScorecard_ODI.asp?MatchCode=4414,16
77,Matches/MatchScorecard_ODI.asp?MatchCode=4417,16
