,MATCH_ID,SCORE
0,Matches/MatchScorecard_ODI.asp?MatchCode=2263,20
1,Matches/MatchScorecard_ODI.asp?MatchCode=2266,24
2,Matches/MatchScorecard_ODI.asp?MatchCode=2463,16
8,Matches/MatchScorecard_ODI.asp?MatchCode=2594,16
15,Matches/MatchScorecard_ODI.asp?MatchCode=2698,28
16,Matches/MatchScorecard_ODI.asp?MatchCode=2700,8
32,Matches/MatchScorecard_ODI.asp?MatchCode=3031,8
33,Matches/MatchScorecard_ODI.asp?MatchCode=3064,28
34,Matches/MatchScorecard_ODI.asp?MatchCode=3065,12
42,Matches/MatchScorecard_ODI.asp?MatchCode=3113,12
59,Matches/MatchScorecard_ODI.asp?MatchCode=3525,16
60,Matches/MatchScorecard_ODI.asp?MatchCode=3529,28
63,Matches/MatchScorecard_ODI.asp?MatchCode=3539,8
64,Matches/MatchScorecard_ODI.asp?MatchCode=3541,32
65,Matches/MatchScorecard_ODI.asp?MatchCode=3544,16
66,Matches/MatchScorecard_ODI.asp?MatchCode=3545,16
67,Matches/MatchScorecard_ODI.asp?MatchCode=3619,20
68,Matches/MatchScorecard_ODI.asp?MatchCode=3621,8
70,Matches/MatchScorecard_ODI.asp?MatchCode=3628,8
89,Matches/MatchScorecard_ODI.asp?MatchCode=4245,32
90,Matches/MatchScorecard_ODI.asp?MatchCode=4248,8
