,MATCH_ID,SCORE
0,Matches/MatchScorecard_ODI.asp?MatchCode=3006,8
1,Matches/MatchScorecard_ODI.asp?MatchCode=3009,20
2,Matches/MatchScorecard_ODI.asp?MatchCode=3010,24
4,Matches/MatchScorecard_ODI.asp?MatchCode=3015,12
5,Matches/MatchScorecard_ODI.asp?MatchCode=3017,20
6,Matches/MatchScorecard_ODI.asp?MatchCode=3018,8
7,Matches/MatchScorecard_ODI.asp?MatchCode=3019,16
8,Matches/MatchScorecard_ODI.asp?MatchCode=3024,16
11,Matches/MatchScorecard_ODI.asp?MatchCode=3032,40
12,Matches/MatchScorecard_ODI.asp?MatchCode=3034,20
13,Matches/MatchScorecard_ODI.asp?MatchCode=3040,8
14,Matches/MatchScorecard_ODI.asp?MatchCode=3042,16
16,Matches/MatchScorecard_ODI.asp?MatchCode=3085,16
17,Matches/MatchScorecard_ODI.asp?MatchCode=3124,24
18,Matches/MatchScorecard_ODI.asp?MatchCode=3129,8
19,Matches/MatchScorecard_ODI.asp?MatchCode=3131,16
20,Matches/MatchScorecard_ODI.asp?MatchCode=3133,16
21,Matches/MatchScorecard_ODI.asp?MatchCode=3134,24
23,Matches/MatchScorecard_ODI.asp?MatchCode=3193,8
25,Matches/MatchScorecard_ODI.asp?MatchCode=3286,8
26,Matches/MatchScorecard_ODI.asp?MatchCode=4108,8
27,Matches/MatchScorecard_ODI.asp?MatchCode=4117,8
28,Matches/MatchScorecard_ODI.asp?MatchCode=4123,32
30,Matches/MatchScorecard_ODI.asp?MatchCode=4166,16
31,Matches/MatchScorecard_ODI.asp?MatchCode=4167,16
32,Matches/MatchScorecard_ODI.asp?MatchCode=4168,8
33,Matches/MatchScorecard_ODI.asp?MatchCode=4169,16
34,Matches/MatchScorecard_ODI.asp?MatchCode=4170,24
