,MATCH_ID,SCORE
164,Matches/MatchScorecard_ODI.asp?MatchCode=3969,16
166,Matches/MatchScorecard_ODI.asp?MatchCode=4012,8
167,Matches/MatchScorecard_ODI.asp?MatchCode=4014,8
169,Matches/MatchScorecard_ODI.asp?MatchCode=4024,8
170,Matches/MatchScorecard_ODI.asp?MatchCode=4025,24
171,Matches/MatchScorecard_ODI.asp?MatchCode=4027,8
174,Matches/MatchScorecard_ODI.asp?MatchCode=4039,12
177,Matches/MatchScorecard_ODI.asp?MatchCode=4083,8
178,Matches/MatchScorecard_ODI.asp?MatchCode=4086,8
179,Matches/MatchScorecard_ODI.asp?MatchCode=4109,28
180,Matches/MatchScorecard_ODI.asp?MatchCode=4116,8
184,Matches/MatchScorecard_ODI.asp?MatchCode=4179,16
185,Matches/MatchScorecard_ODI.asp?MatchCode=4180,28
186,Matches/MatchScorecard_ODI.asp?MatchCode=4181,8
188,Matches/MatchScorecard_ODI.asp?MatchCode=4199,8
190,Matches/MatchScorecard_ODI.asp?MatchCode=4204,8
191,Matches/MatchScorecard_ODI.asp?MatchCode=4205,32
192,Matches/MatchScorecard_ODI.asp?MatchCode=4214,8
193,Matches/MatchScorecard_ODI.asp?MatchCode=4217,24
194,Matches/MatchScorecard_ODI.asp?MatchCode=4218,8
196,Matches/MatchScorecard_ODI.asp?MatchCode=4229,8
197,Matches/MatchScorecard_ODI.asp?MatchCode=4230,8
201,Matches/MatchScorecard_ODI.asp?MatchCode=4286,16
202,Matches/MatchScorecard_ODI.asp?MatchCode=4293,16
203,Matches/MatchScorecard_ODI.asp?MatchCode=4295,8
206,Matches/MatchScorecard_ODI.asp?MatchCode=4311,16
208,Matches/MatchScorecard_ODI.asp?MatchCode=4325,16
209,Matches/MatchScorecard_ODI.asp?MatchCode=4329,8
210,Matches/MatchScorecard_ODI.asp?MatchCode=4335,32
211,Matches/MatchScorecard_ODI.asp?MatchCode=4345,8
212,Matches/MatchScorecard_ODI.asp?MatchCode=4349,8
213,Matches/MatchScorecard_ODI.asp?MatchCode=4356,8
215,Matches/MatchScorecard_ODI.asp?MatchCode=4358,24
