Match-ID,Date,Game
Matches/MatchScorecard_ODI.asp?MatchCode=2015,2003-01-04,2002-2003 New Zealand v India  - 4th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2019,2003-01-11,2002-2003 VB Series  - 7th ODI - Australia v England -  
Matches/MatchScorecard_ODI.asp?MatchCode=2020,2003-01-13,2002-2003 VB Series  - 8th ODI - Sri Lanka v England -  
Matches/MatchScorecard_ODI.asp?MatchCode=2023,2003-01-17,2002-2003 VB Series  - 10th ODI - Sri Lanka v England -  
Matches/MatchScorecard_ODI.asp?MatchCode=2024,2003-01-19,2002-2003 VB Series  - 11th ODI - Australia v England -  
Matches/MatchScorecard_ODI.asp?MatchCode=2026,2003-01-23,2002-2003 VB Series  - 13th ODI (1st Final) - Australia v England -  
Matches/MatchScorecard_ODI.asp?MatchCode=2027,2003-01-25,2002-2003 VB Series  - 14th ODI (2nd Final) - Australia v England -  
Matches/MatchScorecard_ODI.asp?MatchCode=2032,2003-02-11,2002-2003 ICC World Cup  - 5th ODI - Bangladesh v Canada -  
Matches/MatchScorecard_ODI.asp?MatchCode=2037,2003-02-14,2002-2003 ICC World Cup  - 10th ODI - Sri Lanka v Bangladesh -  
Matches/MatchScorecard_ODI.asp?MatchCode=2041,2003-02-16,2002-2003 ICC World Cup  - 14th ODI - England v Netherlands -  
Matches/MatchScorecard_ODI.asp?MatchCode=2044,2003-02-19,2002-2003 ICC World Cup  - 17th ODI - England v Namibia -  
Matches/MatchScorecard_ODI.asp?MatchCode=2049,2003-02-22,2002-2003 ICC World Cup  - 22nd ODI - England v Pakistan -  
Matches/MatchScorecard_ODI.asp?MatchCode=2056,2003-02-26,2002-2003 ICC World Cup  - 29th ODI - England v India -  
Matches/MatchScorecard_ODI.asp?MatchCode=2064,2003-03-02,2002-2003 ICC World Cup  - 37th ODI - Australia v England -  
Matches/MatchScorecard_ODI.asp?MatchCode=2068,2003-03-04,2002-2003 ICC World Cup  - 41st ODI - West Indies v Kenya -  
Matches/MatchScorecard_ODI.asp?MatchCode=2082,2003-04-03,2002-2003 Cherry Blossom Sharjah Cup  - 1st ODI - Pakistan v Zimbabwe -  
Matches/MatchScorecard_ODI.asp?MatchCode=2083,2003-04-04,2002-2003 Cherry Blossom Sharjah Cup  - 2nd ODI - Pakistan v Sri Lanka -  
Matches/MatchScorecard_ODI.asp?MatchCode=2087,2003-04-08,2002-2003 Cherry Blossom Sharjah Cup  - 6th ODI - Kenya v Pakistan -  
Matches/MatchScorecard_ODI.asp?MatchCode=2088,2003-04-10,2002-2003 Cherry Blossom Sharjah Cup  - 7th ODI (Final) - Pakistan v Zimbabwe -  
Matches/MatchScorecard_ODI.asp?MatchCode=2089,2003-04-11,2002-2003 TVS Cup  - 1st ODI - Bangladesh v India -  
Matches/MatchScorecard_ODI.asp?MatchCode=2090,2003-04-13,2002-2003 TVS Cup  - 2nd ODI - India v South Africa -  
Matches/MatchScorecard_ODI.asp?MatchCode=2092,2003-04-16,2002-2003 TVS Cup  - 4th ODI - Bangladesh v India -  
Matches/MatchScorecard_ODI.asp?MatchCode=2094,2003-04-18,2002-2003 TVS Cup  - 6th ODI - India v South Africa -  
Matches/MatchScorecard_ODI.asp?MatchCode=2096,2003-04-21,2002-2003 TVS Cup  - 8th ODI (Final) - India v South Africa -  
Matches/MatchScorecard_ODI.asp?MatchCode=2097,2003-05-10,2002-2003 Bank Alfalah Cup  - 1st ODI - Sri Lanka v Pakistan -  
Matches/MatchScorecard_ODI.asp?MatchCode=2098,2003-05-11,2002-2003 Bank Alfalah Cup  - 2nd ODI - New Zealand v Pakistan -  
Matches/MatchScorecard_ODI.asp?MatchCode=2163,2003-05-12,2003-2004 Pakistan v New Zealand  - 4th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2100,2003-05-17,2002-2003 West Indies v Australia  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2102,2003-05-18,2002-2003 West Indies v Australia  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2101,2003-05-18,2002-2003 Bank Alfalah Cup  - 4th ODI - Sri Lanka v Pakistan -  
Matches/MatchScorecard_ODI.asp?MatchCode=2104,2003-05-20,2002-2003 Bank Alfalah Cup  - 6th ODI - New Zealand v Pakistan -  
Matches/MatchScorecard_ODI.asp?MatchCode=2105,2003-05-21,2002-2003 West Indies v Australia  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2106,2003-05-23,2002-2003 Bank Alfalah Cup  - 7th ODI (Final) - New Zealand v Pakistan -  
Matches/MatchScorecard_ODI.asp?MatchCode=2107,2003-05-24,2002-2003 West Indies v Australia  - 4th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2108,2003-05-25,2002-2003 West Indies v Australia  - 5th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2109,2003-05-30,2002-2003 West Indies v Australia  - 6th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2110,2003-06-01,2002-2003 West Indies v Australia  - 7th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2111,2003-06-07,2002-2003 West Indies v Sri Lanka  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2112,2003-06-08,2002-2003 West Indies v Sri Lanka  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2113,2003-06-11,2002-2003 West Indies v Sri Lanka  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2114,2003-06-17,2003 England v Pakistan  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2115,2003-06-20,2003 England v Pakistan  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2116,2003-06-22,2003 England v Pakistan  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2118,2003-06-28,2003 Natwest Series  - 2nd ODI - England v South Africa -  
Matches/MatchScorecard_ODI.asp?MatchCode=2120,2003-07-01,2003 Natwest Series  - 4th ODI - England v Zimbabwe -  
Matches/MatchScorecard_ODI.asp?MatchCode=2121,2003-07-03,2003 Natwest Series  - 5th ODI - England v South Africa -  
Matches/MatchScorecard_ODI.asp?MatchCode=2123,2003-07-06,2003 Natwest Series  - 7th ODI - England v Zimbabwe -  
Matches/MatchScorecard_ODI.asp?MatchCode=2124,2003-07-08,2003 Natwest Series  - 8th ODI - England v South Africa -  
Matches/MatchScorecard_ODI.asp?MatchCode=2126,2003-07-12,2003 Natwest Series  - 10th ODI (Final) - England v South Africa -  
Matches/MatchScorecard_ODI.asp?MatchCode=2127,2003-08-02,2003-2004 Australia v Bangladesh  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2129,2003-08-06,2003-2004 Australia v Bangladesh  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2130,2003-09-09,2003-2004 Pakistan v Bangladesh  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2131,2003-09-12,2003-2004 Pakistan v Bangladesh  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2132,2003-09-15,2003-2004 Pakistan v Bangladesh  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2133,2003-09-18,2003-2004 Pakistan v Bangladesh  - 4th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2134,2003-09-21,2003-2004 Pakistan v Bangladesh  - 5th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2135,2003-10-03,2003-2004 Pakistan v South Africa  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2136,2003-10-05,2003-2004 Pakistan v South Africa  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2137,2003-10-07,2003-2004 Pakistan v South Africa  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2138,2003-10-10,2003-2004 Pakistan v South Africa  - 4th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2139,2003-10-12,2003-2004 Pakistan v South Africa  - 5th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2140,2003-10-23,2003-2004 TVS Cup  - 1st ODI - India v New Zealand -  
Matches/MatchScorecard_ODI.asp?MatchCode=2141,2003-10-26,2003-2004 TVS Cup  - 2nd ODI - India v Australia -  
Matches/MatchScorecard_ODI.asp?MatchCode=2143,2003-11-01,2003-2004 TVS Cup  - 4th ODI - India v Australia -  
Matches/MatchScorecard_ODI.asp?MatchCode=2146,2003-11-07,2003-2004 Bangladesh v England  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2148,2003-11-10,2003-2004 Bangladesh v England  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2149,2003-11-12,2003-2004 Bangladesh v England  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2152,2003-11-18,2003-2004 Sri Lanka v England  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2154,2003-11-22,2003-2004 Zimbabwe v West Indies  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2156,2003-11-23,2003-2004 Zimbabwe v West Indies  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2157,2003-11-26,2003-2004 Zimbabwe v West Indies  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2175,2004-01-20,2003-2004 VB Series  - 6th ODI - India v Zimbabwe -  
Matches/MatchScorecard_ODI.asp?MatchCode=2176,2004-01-22,2003-2004 VB Series  - 7th ODI - Australia v India -  
Matches/MatchScorecard_ODI.asp?MatchCode=2177,2004-01-24,2003-2004 VB Series  - 8th ODI - India v Zimbabwe -  
Matches/MatchScorecard_ODI.asp?MatchCode=2213,2004-04-24,2003-2004 West Indies v England  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2219,2004-05-01,2003-2004 West Indies v England  - 5th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2220,2004-05-02,2003-2004 West Indies v England  - 6th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2221,2004-05-05,2003-2004 West Indies v England  - 7th ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2230,2004-06-27,2004 Natwest Series  - 3rd ODI - England v West Indies -  
Matches/MatchScorecard_ODI.asp?MatchCode=2231,2004-06-29,2004 Natwest Series  - 4th ODI - England v New Zealand -  
Matches/MatchScorecard_ODI.asp?MatchCode=2232,2004-07-01,2004 Natwest Series  - 5th ODI - England v West Indies -  
Matches/MatchScorecard_ODI.asp?MatchCode=2234,2004-07-04,2004 Natwest Series  - 7th ODI - England v New Zealand -  
Matches/MatchScorecard_ODI.asp?MatchCode=2235,2004-07-06,2004 Natwest Series  - 8th ODI - England v West Indies -  
Matches/MatchScorecard_ODI.asp?MatchCode=2238,2004-07-16,2004-2005 Asia Cup  - 1st ODI - Bangladesh v Hong Kong -  
Matches/MatchScorecard_ODI.asp?MatchCode=2240,2004-07-17,2004-2005 Asia Cup  - 3rd ODI - Bangladesh v Pakistan -  
Matches/MatchScorecard_ODI.asp?MatchCode=2243,2004-07-18,2004-2005 Asia Cup  - 6th ODI - Sri Lanka v India -  
Matches/MatchScorecard_ODI.asp?MatchCode=2244,2004-07-21,2004-2005 Asia Cup  - 7th ODI - Bangladesh v India -  
Matches/MatchScorecard_ODI.asp?MatchCode=2246,2004-07-23,2004-2005 Asia Cup  - 9th ODI - Sri Lanka v Bangladesh -  
Matches/MatchScorecard_ODI.asp?MatchCode=2248,2004-07-27,2004-2005 Asia Cup  - 11th ODI - Sri Lanka v India -  
Matches/MatchScorecard_ODI.asp?MatchCode=2249,2004-07-29,2004-2005 Asia Cup  - 12th ODI - Bangladesh v Pakistan -  
Matches/MatchScorecard_ODI.asp?MatchCode=2251,2004-08-20,2004-2005 Sri Lanka v South Africa  - 1st ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2253,2004-08-22,2004-2005 Sri Lanka v South Africa  - 2nd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2255,2004-08-25,2004-2005 Sri Lanka v South Africa  - 3rd ODI -  
Matches/MatchScorecard_ODI.asp?MatchCode=2257,2004-08-28,2004-2005 Sri Lanka v South Africa  - 4th ODI -  
