name,rank
Mustafizur Rahman,52.444009976036746
Aaron Phangiso,51.76473136263967
Jacob Ball,54.13576921324618
James Shannon,48.34090250198216
Dane Paterson,0.0
Dawid Malan,61.924676459884424
Shaun Marsh,78.7340010208866
Veerasammy Permaul,53.0125883112645
Sayed Shirzad,69.97234260494967
Suresh Raina,78.17276005606473
Lockie Ferguson,50.666472687636045
Khary Pierre,60.549848252955975
Roelof van der Merwe,61.284944192974926
Mohammad Shahzad,77.16659234177911
Samiullah Shinwari,66.53439388324352
Junaid Khan,51.649545771320014
Stuart Thompson,59.23139461388676
Najeeb Tarakai,48.54607882054368
Josh Little,59.49978820949774
Devendra Bishoo,53.35340927799282
Najibullah Zadran,71.29053256403584
Karim Janat,49.40321958210819
Gareth Delany,58.37408171803966
Reeza Hendricks,65.6756779366493
Shabir Noori,61.62001641269116
Tim Murtagh,53.575178165261214
Nicholas Pooran,82.37051977380442
Jonny Bairstow,83.63225113018466
Patrick Cummins,54.817410131162184
Andy McBrine,56.418050811735775
Rishi Dhawan,54.212879542435196
Usman Khawaja,79.52999356507152
Mohammad Hasnain,64.55100340432847
Dean Brownlie,64.02566601382986
Temba Bavuma,85.29343281386525
Jeetan Patel,52.30909742355689
Jason Roy,84.73954322532626
Obed McCoy,24.928102889816586
Simi Singh,55.738822796044026
Sharjeel Khan,79.24022759556576
Alexander Hales,80.17645121750067
Ashton Agar,59.43408815373114
Nikita Miller,57.00155617447034
Ross Taylor,85.93702305273769
Fareed Ahmad,51.334665797633804
Shreyas Iyer,89.6291822623198
Ahmed Shehzad,74.26617654111719
Murali Vijay,61.43299731002654
Evin Lewis,75.39373953240052
Shaheen Shah Afridi,52.40990981594504
Kemar Roach,53.6527974277801
Colin Munro,70.59477076676978
Javed Ahmadi,68.0323152857925
Nazmul Islam,51.17071170318819
Darren Bravo,71.6468430322414
Ashley Nurse,59.36057477982673
Dale Steyn,56.00565256113707
Kieran Powell,68.67124318950859
Ravichandran Ashwin,58.839839385420106
Chris Morris,62.28550024147392
Hashmatullah Shahidi,68.24576783001115
Rayad Emrit,50.22892402726791
Moises Henriques,53.83940447980984
Andy Balbirnie,72.12449807233023
Mashrafe Mortaza,63.675585431118904
Keemo Paul,59.61421517285506
Manish Pandey,65.85743978411938
Vijay Shankar,64.40856544737447
James Neesham,68.04347033800641
Rishabh Pant,68.09226953196031
Mohammad Hafeez,79.54033236872723
Jofra Archer,51.452447392729766
Afif Hossain,62.959278830232606
Sohail Khan,50.9550436355532
John Campbell,83.69190038679926
Mitchell Santner,61.80411358835297
Khalid Latif,67.06695135376026
Quinton de Kock,85.85951189728702
Najmul Hossain Shanto,54.07533509539747
Tom Latham,73.11181902416172
Corey Anderson,70.23600163914571
Oshane Thomas,49.39291347046519
Jason Mohammed,65.35454406632192
Scott Boland,49.78314368192293
Craig Young,53.94937704195901
Zulfiqar Babar,54.26744721293767
D'Arcy Short,64.71516624357919
Virat Kohli,94.47775772937388
Douglas Bracewell,58.52800455760849
Liton Das,71.99701760954136
Shannon Gabriel,49.45296633112418
William Porterfield,74.4437313706001
John Anderson,58.864342149295325
Shakib Al Hasan,80.35862343047836
Christiaan Jonker,61.03261332115373
Yuzvendra Chahal,52.950429602768864
Ariful Haque,0.0
Mark Wood,53.97930055222242
Mohammad Mithun,68.66289082327904
Lutho Sipamla,52.26946496688833
Janneman Malan,82.96880324829023
Heinrich Klaasen,73.13999124591189
Dwaine Pretorius,60.74312133325869
Mohammed Shami,55.18539259960424
Rilee Rossouw,77.4117446749966
Mohammad Saifuddin,65.44014905243165
Shafiqullah,66.03560309417763
Mujeeb Ur Rahman,54.986746663587
Romario Shepherd,52.82700454818966
Ibrahim Zadran,47.97683108294068
Junior Dala,57.500321083793025
Kuldeep Yadav,52.51171470102622
Joe Root,84.21300034911164
Andre Russell,70.25765224865721
Tom Curran,59.571959227983434
Chris Jordan,55.76553267710915
Kevin O'Brien,73.13817116392751
Martin Guptill,84.86030755381526
Chadwick Walton,53.45234640760259
Josh Hazlewood,51.921982065557394
Eoin Morgan,83.21992786748639
Karim Sadiq,64.83969247351841
Parthiv Patel,64.93412070616405
Farhaan Behardien,66.6561411150469
Chris Lynn,59.89654317835338
Amit Mishra,51.326629421713704
Lungisani Ngidi,53.02733438936994
Amir Hamza,48.46837075879773
Beuran Hendricks,48.56246351796
Sam Curran,52.425830819321405
Jason Behrendorff,55.766570422362626
James Anderson,53.42400286321419
Marcus Stoinis,71.08655306643334
Carlos Brathwaite,61.669797415312225
Haris Sohail,79.86641846484243
Umar Amin,59.77246087521597
Jason Holder,66.96585953949347
Ben Foakes,100.3857200642394
Henry Nicholls,71.47711546083133
Joe Denly,74.176134790781
Fakhar Zaman,84.0683090656587
Boyd Rankin,50.36644146835147
Aamer Yamin,76.96273241361787
Adil Rashid,60.85627866482033
Mosaddeck Hossain,62.561919290508854
