Players,playerid
Dinesh Karthik  (India),PlayerID=3210
Taijul Islam  (Bangladesh),PlayerID=4324
Saqib Mahmood  (England),PlayerID=5658
Taskin Ahmed  (Bangladesh),PlayerID=4299
Liam Plunkett  (England),PlayerID=3331
Rumman Raees  (Pakistan),PlayerID=4593
Shafiul Islam  (Bangladesh),PlayerID=3748
Adam Milne  (New Zealand),PlayerID=3839
Mohammad Nabi  (Afghanistan),PlayerID=3665
Liam Dawson  (England),PlayerID=4566
Aftab Alam  (Afghanistan),PlayerID=3762
Washington Sundar  (India),PlayerID=4684
Soumya Sarkar  (Bangladesh),PlayerID=4362
Rassie van der Dussen  (South Africa),PlayerID=4817
Sean Terry  (Ireland),PlayerID=4569
Abu Hider  (Bangladesh),PlayerID=4515
Daniel Christian  (Australia),PlayerID=3766
Asad Shafiq  (Pakistan),PlayerID=3798
Tim Paine  (Australia),PlayerID=3725
Marlon Samuels  (West Indies),PlayerID=2255
Noor Ali Zadran  (Afghanistan),PlayerID=3663
Imam-ul-Haq  (Pakistan),PlayerID=4706
Ajinkya Rahane  (India),PlayerID=3889
Shikhar Dhawan  (India),PlayerID=3832
Colin de Grandhomme  (New Zealand),PlayerID=3936
Ambati Rayudu  (India),PlayerID=4069
Kagiso Rabada  (South Africa),PlayerID=4339
Mitchell Starc  (Australia),PlayerID=3830
Steven Finn  (England),PlayerID=3775
Navdeep Saini  (India),PlayerID=4656
Shadab Khan  (Pakistan),PlayerID=4653
Nurul Hasan  (Bangladesh),PlayerID=4514
Naveen -ul-Haq  (Afghanistan),PlayerID=4590
Mark Adair  (Ireland),PlayerID=5089
Aiden Markram  (South Africa),PlayerID=4701
Steve Smith  (Australia),PlayerID=3756
Axar Patel  (India),PlayerID=4310
Kesrick Williams  (West Indies),PlayerID=4592
Umesh Yadav  (India),PlayerID=3786
Adam Zampa  (Australia),PlayerID=4527
Andrew Tye  (Australia),PlayerID=4383
Lendl Simmons  (West Indies),PlayerID=3447
Tabraiz Shamsi  (South Africa),PlayerID=4562
Nasir Hossain  (Bangladesh),PlayerID=3878
Sabbir Rahman  (Bangladesh),PlayerID=4268
Ish Sodhi  (New Zealand),PlayerID=4243
Nathan Lyon  (Australia),PlayerID=3885
Jacob Mulder  (Ireland),PlayerID=4585
Matthew Wade  (Australia),PlayerID=3910
Ed Joyce  (England),PlayerID=3393
Usman Shinwari  (Pakistan),PlayerID=4253
Lorcan Tucker  (Ireland),PlayerID=4586
Dawlat Zadran  (Afghanistan),PlayerID=3875
Mahmudullah  (Bangladesh),PlayerID=3488
Luke Ronchi  (New Zealand  Australia),PlayerID=3573
Trent Boult  (New Zealand),PlayerID=3924
Imran Tahir  (South Africa),PlayerID=3850
Abdur Razzak  (Bangladesh),PlayerID=3180
Jasprit Bumrah  (India),PlayerID=4062
Gary Wilson  (Ireland),PlayerID=3473
Xavier Marshall  (United States  West Indies),PlayerID=3269
Deepak Chahar  (India),PlayerID=4557
KL Rahul  (India),PlayerID=4137
Umar Gul  (Pakistan),PlayerID=3100
Peter Chase  (Ireland),PlayerID=4375
Umar Akmal  (Pakistan),PlayerID=3721
Kieron Pollard  (West Indies),PlayerID=3465
Mominul Haque  (Bangladesh),PlayerID=3980
B J Watling  (New Zealand),PlayerID=3737
Wayne Parnell  (South Africa),PlayerID=3642
Parvez Rasool  (India),PlayerID=4311
Barry McCarthy  (Ireland),PlayerID=4563
Afsar Zazai  (Afghanistan),PlayerID=4245
Moeen Ali  (England),PlayerID=4271
Barinder Sran  (India),PlayerID=4512
