name,batting_avg,batting_strike_rate,MRA,outrate,BRPI,innings_batted,bowling_avg,bowling_sr,bowling_er,bowling_outrate,maidens,innings_bowled
Faf du Plessis,56.0,0.9578107183580388,0.36666666666666664,0.014253135689851768,25.066666666666666,30,-1.0,-1.0,-1.0,-1.0,0.0,11
Ben Wheeler,14.5,1.2340425531914894,0.0,0.0,8.5,4,30.25,24.75,7.333333333333333,0.04040404040404041,1.0,6
David Warner,49.56666666666667,0.968729641693811,0.3333333333333333,0.01758957654723127,25.4,30,-1.0,-1.0,-1.0,-1.0,0.0,1
Hasan Ali,9.931034482758621,1.1851851851851851,0.06896551724137931,0.06995884773662552,6.0,29,43.0,41.16774193548387,6.267042783262812,0.024290863501018653,4.0,30
Shai Hope,55.63333333333333,0.7773637633907778,0.4666666666666667,0.012109920819748486,22.666666666666668,30,-1.0,-1.0,-1.0,-1.0,-1.0,0
Hamid Hassan,4.863636363636363,0.5911602209944752,0.0,0.06629834254143646,2.3636363636363638,22,20.5,27.3,4.5054945054945055,0.036630036630036625,11.0,30
Abu Jayed,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0.0,2
Sharafuddin Ashraf,6.6,0.6804123711340206,0.0,0.05154639175257732,2.4,10,28.77777777777778,42.0,4.111111111111111,0.023809523809523808,2.0,17
Bjorn Fortuin,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,0
Mirwais Ashraf,12.466666666666667,0.7262135922330097,0.03333333333333333,0.04466019417475728,6.0,30,27.5,38.54117647058824,4.281135531135531,0.025946275946275944,13.0,30
Alex Carey,30.0,0.9193054136874361,0.13333333333333333,0.024514811031664963,13.6,30,-1.0,-1.0,-1.0,-1.0,-1.0,0
Shardul Thakur,12.833333333333334,1.54,0.0,0.06,8.333333333333334,6,61.2,52.92,6.938775510204081,0.018896447467876037,1.0,11
Mohammed Siraj,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0.0,1
Hayden Walsh,19.8,0.8608695652173913,0.0,0.02608695652173913,10.0,5,29.8,28.079999999999995,6.367521367521368,0.03561253561253562,0.0,10
Sarfaraz Ahmed,21.8,0.8958904109589041,0.13333333333333333,0.028767123287671233,6.866666666666666,30,-1.0,-1.0,7.5,0.0,0.0,1
Mohammad Amir,12.366666666666667,0.8431818181818181,0.06666666666666667,0.03409090909090909,5.866666666666666,30,34.935483870967744,42.116129032258065,4.977022058823529,0.023743872549019607,13.0,30
Billy Stanlake,0.8,0.17391304347826086,0.0,0.08695652173913043,0.0,5,40.666666666666664,42.0,5.809523809523809,0.023809523809523808,1.0,7
M S Dhoni,31.633333333333333,0.8008438818565401,0.2,0.017721518987341773,11.733333333333333,30,-1.0,-1.0,-1.0,-1.0,0.0,2
George Dockrell,14.866666666666667,0.7275693311582382,0.06666666666666667,0.037520391517128875,5.066666666666666,30,69.26315789473684,78.66315789473684,5.283018867924528,0.012712431419777868,8.0,30
Glenn Maxwell,29.433333333333334,1.1868279569892473,0.13333333333333333,0.036290322580645164,16.6,30,177.75,183.0,5.827868852459017,0.00546448087431694,1.0,30
JJ Smuts,41.75,0.7731481481481481,0.25,0.013888888888888888,19.5,4,32.333333333333336,44.0,4.409090909090909,0.022727272727272728,1.0,3
Shuvagata Hom,23.333333333333332,0.813953488372093,0.0,0.023255813953488372,12.0,3,-1.0,-1.0,4.5,0.0,0.0,1
Rohit Sharma,61.93333333333333,0.9225422045680238,0.5,0.013902681231380337,32.8,30,-1.0,-1.0,-1.0,-1.0,0.0,30
Matt Parkinson,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0.0,2
Asif Ali,26.642857142857142,1.2951388888888888,0.21428571428571427,0.04513888888888889,14.714285714285714,14,-1.0,-1.0,10.0,0.0,0.0,1
Sam Billings,23.25,0.9147540983606557,0.16666666666666666,0.036065573770491806,10.666666666666666,12,-1.0,-1.0,-1.0,-1.0,-1.0,0
Tim Seifert,16.5,1.2222222222222223,0.0,0.07407407407407407,7.0,2,-1.0,-1.0,-1.0,-1.0,-1.0,0
Niall O'Brien,26.033333333333335,0.727865796831314,0.2,0.0260950605778192,10.6,30,-1.0,-1.0,-1.0,-1.0,-1.0,0
Ishant Sharma,2.5714285714285716,0.4067796610169492,0.0,0.05649717514124294,0.8571428571428571,28,33.46153846153846,32.33076923076923,6.209850107066381,0.030930287889602667,7.0,30
Johnson Charles,31.033333333333335,0.8709073900841908,0.16666666666666666,0.02806361085126286,17.933333333333334,30,-1.0,-1.0,14.0,0.0,0.0,1
Seth Rance,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,0.0,2
Stuart Poynter,9.736842105263158,0.6826568265682657,0.0,0.04428044280442804,3.1578947368421053,19,-1.0,-1.0,-1.0,-1.0,-1.0,0
Anamul Haque,35.86666666666667,0.722632639355272,0.2,0.019476158495634655,17.533333333333335,30,-1.0,-1.0,-1.0,-1.0,-1.0,0
Mohammad Rizwan,25.892857142857142,0.9039900249376559,0.17857142857142858,0.02493765586034913,10.0,28,-1.0,-1.0,-1.0,-1.0,-1.0,0
Andre Fletcher,14.48,0.6666666666666666,0.08,0.040515653775322284,8.4,25,-1.0,-1.0,5.454545454545454,0.0,0.0,3
Dhawal Kulkarni,13.5,0.9642857142857143,0.0,0.0,7.0,2,50.5,42.0,7.214285714285714,0.023809523809523808,0.0,12
Paul Stirling,50.86666666666667,0.8044280442804428,0.4666666666666667,0.0158144438587243,26.933333333333334,30,37.6,43.2,5.222222222222222,0.023148148148148147,1.0,30
Shapoor Zadran,2.4814814814814814,0.536,0.0,0.048,1.4074074074074074,27,38.5,50.74285714285715,4.552364864864865,0.019707207207207204,11.0,30
Fabian Allen,12.25,1.1136363636363635,0.08333333333333333,0.06060606060606061,8.0,12,87.66666666666667,92.0,5.717391304347826,0.010869565217391304,0.0,12
Kane Williamson,46.4,0.7631578947368421,0.3333333333333333,0.01425438596491228,16.666666666666668,30,51.5,69.0,4.478260869565218,0.014492753623188406,0.0,30
Ashton Turner,29.2,1.2920353982300885,0.2,0.035398230088495575,16.0,5,-1.0,-1.0,-1.0,-1.0,-1.0,0
Yasir Shah,9.76923076923077,0.8581081081081081,0.0,0.033783783783783786,3.230769230769231,13,123.2,116.4,6.350515463917525,0.00859106529209622,1.0,24
Shimron Hetmeyer,34.666666666666664,1.113490364025696,0.2,0.028907922912205567,18.266666666666666,30,-1.0,-1.0,-1.0,-1.0,-1.0,0
George Bailey,37.266666666666666,0.7867698803659395,0.3,0.019000703729767768,13.4,30,-1.0,-1.0,-1.0,-1.0,-1.0,0
Ben Stokes,42.6,0.9006342494714588,0.4,0.014094432699083862,20.0,30,43.0,44.714285714285715,5.7699680511182105,0.022364217252396165,2.0,30
Mohammad Irfan,1.6,0.48,0.0,0.04,0.6666666666666666,30,35.73684210526316,42.410526315789475,5.05584512285927,0.023579051873914122,9.0,30
Imad Wasim,26.633333333333333,1.1081830790568654,0.1,0.023578363384188627,12.933333333333334,30,64.94444444444444,73.43333333333334,5.3064003631411705,0.013617793917385383,5.0,30
Mehidy Hasan,15.26923076923077,0.7723735408560312,0.038461538461538464,0.042801556420233464,6.923076923076923,26,42.56,53.544,4.769161810847154,0.01867622889586135,6.0,30
Imrul Kayes,39.0,0.7937584803256446,0.3333333333333333,0.01967435549525102,19.133333333333333,30,-1.0,-1.0,-1.0,-1.0,-1.0,0
David Miller,35.53333333333333,0.9726277372262774,0.23333333333333334,0.01824817518248175,14.733333333333333,30,-1.0,-1.0,-1.0,-1.0,-1.0,0
Ben Cutting,26.5,0.7910447761194029,0.0,0.029850746268656716,11.0,2,60.0,96.0,3.75,0.010416666666666666,0.0,4
