name,gametype,longname,retired
4002,One Day Internationals,Kyle Abbott  (South Africa),True
4002,Test Cricket,Kyle Abbott  (South Africa),True
5173,T20 Internationals,Zain Abbasi  (Botswana),False
4868,T20 Internationals,Abbas Saad  (Saudi Arabia),False
5507,T20 Internationals,Aarush Bhagwat  (Hong Kong),False
4808,T20 Internationals,Aarif Sheikh  (Nepal),False
4808,One Day Internationals,Aarif Sheikh  (Nepal),False
4465,T20 Internationals,Aamir Kaleem  (Oman),False
4465,One Day Internationals,Aamir Kaleem  (Oman),False
4480,T20 Internationals,Aamer Yamin  (Pakistan),False
4480,One Day Internationals,Aamer Yamin  (Pakistan),False
4809,One Day Internationals,Dipendra Singh Airee  (Nepal),False
5492,T20 Internationals,Ainool Haqqiem  (Malaysia),False
5498,T20 Internationals,Ainool Hafizs  (Malaysia),False
5035,T20 Internationals,Kaushal Kumar  (Mexico),False
3869,T20 Internationals,Ahsan Malik  (Netherlands),True
3869,One Day Internationals,Ahsan Malik  (Netherlands),True
5770,T20 Internationals,Ahsan Ali  (Pakistan),False
5504,T20 Internationals,Ahsan Abbasi  (Hong Kong),False
5097,T20 Internationals,Ahmed Wardak  (Germany),False
3675,T20 Internationals,Ahmed Shehzad  (Pakistan),False
3675,One Day Internationals,Ahmed Shehzad  (Pakistan),False
3675,Test Cricket,Ahmed Shehzad  (Pakistan),True
4258,T20 Internationals,Ahmed Raza  (United Arab Emirates),False
4258,One Day Internationals,Ahmed Raza  (United Arab Emirates),False
5824,T20 Internationals,Ahmed Raid  (Maldives),False
4880,T20 Internationals,Ahmed Hassan  (Maldives),False
5271,T20 Internationals,Ahmed Faiz  (Malaysia),False
4539,T20 Internationals,Khaleel Ahmed  (India),False
4539,One Day Internationals,Khaleel Ahmed  (India),False
5683,T20 Internationals,Agagyul Ahmadhel  (Bulgaria),False
5240,T20 Internationals,Saif Ahmad  (Denmark),False
5250,T20 Internationals,Pratik Agnihotri  (Norway),False
5010,T20 Internationals,George Agius  (Malta),False
4104,One Day Internationals,Mayank Agarwal  (India),True
4104,Test Cricket,Mayank Agarwal  (India),False
4224,T20 Internationals,Ashton Agar  (Australia),False
4224,One Day Internationals,Ashton Agar  (Australia),False
4224,Test Cricket,Ashton Agar  (Australia),True
5915,T20 Internationals,Aftab Kayani  (Romania),False
5784,T20 Internationals,Aftab Hussain  (Hong Kong),False
3762,T20 Internationals,Aftab Alam  (Afghanistan),False
3762,One Day Internationals,Aftab Alam  (Afghanistan),False
5313,T20 Internationals,Aftab Ahmed  (Denmark),False
4245,T20 Internationals,Afsar Zazai  (Afghanistan),True
4245,One Day Internationals,Afsar Zazai  (Afghanistan),True
4245,Test Cricket,Afsar Zazai  (Afghanistan),False
4734,T20 Internationals,Afif Hossain  (Bangladesh),False
4734,One Day Internationals,Afif Hossain  (Bangladesh),True
5654,T20 Internationals,Nikhil Advani  (Gibraltar),False
4640,T20 Internationals,Adnan Mufti  (United Arab Emirates),True
4640,One Day Internationals,Adnan Mufti  (United Arab Emirates),False
5290,T20 Internationals,Adnan Idrees  (Kuwait),False
4867,T20 Internationals,Adil Hanif  (Bahrain),False
5809,T20 Internationals,Adil Butt  (Saudi Arabia),False
5127,T20 Internationals,Vincent Adewoye  (Nigeria),False
5817,T20 Internationals,Adel Kolasangiani  (Iran),False
5089,T20 Internationals,Mark Adair  (Ireland),False
5089,One Day Internationals,Mark Adair  (Ireland),False
3979,One Day Internationals,Anamul Haque  (Bangladesh),False
3979,Test Cricket,Anamul Haque  (Bangladesh),True
5219,T20 Internationals,Anam Molik  (Italy),False
4860,T20 Internationals,Ammad Uddin  (Bahrain),False
5321,T20 Internationals,Amjad Sher  (Finland),False
5339,T20 Internationals,Amjad Mahboob  (Singapore),False
3554,T20 Internationals,Amjad Javed  (United Arab Emirates),True
3554,One Day Internationals,Amjad Javed  (United Arab Emirates),True
5113,T20 Internationals,Amir Mangal  (Germany),False
4727,T20 Internationals,Amir Hayat  (United Arab Emirates),False
4727,One Day Internationals,Amir Hayat  (United Arab Emirates),False
3935,T20 Internationals,Amir Hamza  (Afghanistan),True
3935,One Day Internationals,Amir Hamza  (Afghanistan),True
3935,Test Cricket,Amir Hamza  (Afghanistan),True
5478,T20 Internationals,Aminul Islam  (Bangladesh),False
5274,T20 Internationals,Aminuddin Ramly  (Malaysia),False
4346,T20 Internationals,Charles Amini  (Papua New Guinea),False
4346,One Day Internationals,Charles Amini  (Papua New Guinea),False
5386,T20 Internationals,Ameer Saiyed  (Botswana),False
4887,T20 Internationals,Ameel Mauroof  (Maldives),False
4702,One Day Internationals,Sunil Ambris  (West Indies),False
4702,Test Cricket,Sunil Ambris  (West Indies),False
5901,T20 Internationals,Amar Sharma  (Malta),False
5433,T20 Internationals,Hasan Alta  (Turkey),False
5365,T20 Internationals,Timroy Allen  (United States),False
5586,T20 Internationals,Jaimin Allen  (Brazil),False
4826,T20 Internationals,Fabian Allen  (West Indies),False
4826,One Day Internationals,Fabian Allen  (West Indies),False
5799,T20 Internationals,Alishan Sharafu  (United Arab Emirates),False
5636,T20 Internationals,Ali Naqi  (Portugal),False
5796,T20 Internationals,Ali Mohammadipour  (Iran),False
5021,One Day Internationals,Ali Khan  (United States),False
5749,T20 Internationals,Ali Ivan  (Maldives),False
5820,T20 Internationals,Ali Abbas  (Saudi Arabia),False
4271,T20 Internationals,Moeen Ali  (England),False
4271,One Day Internationals,Moeen Ali  (England),False
4271,Test Cricket,Moeen Ali  (England),False
4998,T20 Internationals,Adam Algar  (Spain),False
5760,One Day Internationals,Akshay Homraj  (United States),False
5562,T20 Internationals,Akramullah Malikzada  (Hungary ),False
5903,T20 Internationals,Noshair Nasim Akhter  (Malta),False
5779,T20 Internationals,Frank Akankwasa  (Uganda),False
5169,T20 Internationals,Chima Akachukwu  (Nigeria),False
5551,T20 Internationals,Daniel Ajekun  (Nigeria),False
4275,T20 Internationals,Aizaz Khan  (Hong Kong),False
4910,T20 Internationals,Awais Malik  (Qatar),False
5002,T20 Internationals,Awais Ahmed  (Spain),False
5589,T20 Internationals,Richard Avery  (Brazil),False
3560,T20 Internationals,James Atkinson  (Hong Kong),True
3560,One Day Internationals,James Atkinson  (Hong Kong),False
5005,T20 Internationals,Atif Mehmood  (Spain),False
5446,T20 Internationals,Atif Kamal  (Luxembourg),False
5141,T20 Internationals,Vincent Ateak  (Ghana),False
5134,T20 Internationals,Simon Ateak  (Ghana),False
5022,T20 Internationals,Simon Atai  (Papua New Guinea),False
5022,One Day Internationals,Simon Atai  (Papua New Guinea),False
3978,T20 Internationals,Todd Astle  (New Zealand),True
3978,One Day Internationals,Todd Astle  (New Zealand),False
3978,Test Cricket,Todd Astle  (New Zealand),False
5691,T20 Internationals,Asrar Ahmed  (Greece),False
5695,T20 Internationals,Alexandros Aspiotis  (Greece),False
5694,T20 Internationals,Aslam Mohammad  (Greece),False
5294,T20 Internationals,Mohammed Aslam  (Kuwait),False
5912,T20 Internationals,Asif Bevinje  (Romania),False
4747,T20 Internationals,Asif Ali  (Pakistan),False
4747,One Day Internationals,Asif Ali  (Pakistan),False
3788,T20 Internationals,Ravichandran Ashwin  (India),True
3788,One Day Internationals,Ravichandran Ashwin  (India),True
3788,Test Cricket,Ravichandran Ashwin  (India),False
5534,T20 Internationals,Arun Ashokan  (Czech Republic),False
5107,T20 Internationals,Ashiqullah Said  (Belgium),False
4721,T20 Internationals,Ashfaq Ahmed  (United Arab Emirates),False
4721,One Day Internationals,Ashfaq Ahmed  (United Arab Emirates),False
3667,T20 Internationals,Asghar Afghan  (Afghanistan),False
3667,One Day Internationals,Asghar Afghan  (Afghanistan),False
3667,Test Cricket,Asghar Afghan  (Afghanistan),False
3798,T20 Internationals,Asad Shafiq  (Pakistan),True
3798,One Day Internationals,Asad Shafiq  (Pakistan),True
