,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,76613,9.0,0,0,6.44
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,118077,10.0,0,0,6.20
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,118325,8.0,0,0,7.38
