name,batting_avg,batting_strike_rate,MRA,outrate,BRPI,innings_batted,bowling_avg,bowling_sr,bowling_er,bowling_outrate,maidens,innings_bowled
Rohit Sharma,43.33179723502304,0.8950975725844835,0.3317972350230415,0.016373155640171347,21.75115207373272,217,111.75,123.75,5.418181818181818,0.00808080808080808,2.0,38
Jasprit Bumrah,1.2666666666666666,0.9047619047619048,0.0,0.047619047619047616,0.9333333333333333,15,49.2,53.4,5.52808988764045,0.018726591760299626,2.0,64
Yuzvendra Chahal,5.444444444444445,0.6712328767123288,0.0,0.0684931506849315,3.111111111111111,9,35.375,39.3,5.400763358778626,0.025445292620865142,2.0,51
KL Rahul,41.38709677419355,0.8799725651577504,0.3548387096774194,0.01646090534979424,17.483870967741936,31,-1.0,-1.0,-1.0,-1.0,-1.0,0
Bhuvneshwar Kumar,10.192307692307692,0.780559646539028,0.019230769230769232,0.042709867452135494,4.3076923076923075,52,47.81578947368421,50.62105263157895,5.667498440424204,0.019754626741526303,15.0,113
Virat Kohli,51.34309623430963,0.9368605894029622,0.41841004184100417,0.01427698885326004,21.715481171548117,239,144.25,139.8,6.190987124463519,0.007153075822603719,1.0,48
Hardik Pandya,25.605263157894736,1.1666666666666667,0.10526315789473684,0.03477218225419664,13.578947368421053,38,45.3235294117647,47.52352941176471,5.722242851838098,0.021042208194083423,4.0,53
M S Dhoni,37.39057239057239,0.8794646392650669,0.2760942760942761,0.01607666112299042,15.75084175084175,297,-1.0,-1.0,-1.0,-1.0,0.0,2
Rishabh Pant,27.0,1.0384615384615385,0.07142857142857142,0.03571428571428571,15.714285714285714,14,-1.0,-1.0,-1.0,-1.0,-1.0,0
Mohammed Shami,4.083333333333333,0.9130434782608695,0.0,0.08695652173913043,2.2222222222222223,36,29.346938775510203,30.64897959183674,5.745105872952457,0.03262751365028632,11.0,76
Dinesh Karthik,22.632911392405063,0.745,0.11392405063291139,0.021666666666666667,10.050632911392405,79,-1.0,-1.0,-1.0,-1.0,-1.0,0
Mushfiqur Rahim,31.147058823529413,0.7980406932931424,0.22058823529411764,0.020221049987440343,12.058823529411764,204,-1.0,-1.0,-1.0,-1.0,-1.0,0
Tamim Iqbal,36.302439024390246,0.7949156163212988,0.2926829268292683,0.01901303140354625,17.89268292682927,205,-1.0,-1.0,8.0,0.0,0.0,2
Mustafizur Rahman,2.888888888888889,0.7222222222222222,0.0,0.05555555555555555,1.3333333333333333,27,20.033333333333335,23.36,5.14554794520548,0.042808219178082196,4.0,57
Sabbir Rahman,23.06779661016949,0.9189736664415935,0.11864406779661017,0.03173531397704254,12.813559322033898,59,99.0,87.2,6.811926605504587,0.01146788990825688,0.0,21
Mashrafe Mortaza,11.335443037974683,0.9119144602851323,0.006329113924050633,0.05855397148676171,6.151898734177215,158,37.44736842105263,45.72631578947369,4.913674033149171,0.021869244935543278,74.0,220
Liton Das,30.63888888888889,0.9658493870402802,0.16666666666666666,0.02626970227670753,16.22222222222222,36,-1.0,-1.0,-1.0,-1.0,-1.0,0
Shakib Al Hasan,33.74742268041237,0.8334818586887333,0.28865979381443296,0.02011457670273711,13.1340206185567,194,31.035087719298247,41.10526315789474,4.530089628681178,0.024327784891165175,74.0,203
Mosaddeck Hossain,18.566666666666666,0.8771653543307086,0.06666666666666667,0.029921259842519685,9.266666666666667,30,48.53846153846154,55.01538461538462,5.293624161073826,0.018176733780760627,1.0,33
Soumya Sarkar,32.96296296296296,0.9955257270693513,0.24074074074074073,0.025727069351230425,19.48148148148148,54,37.375,36.75,6.1020408163265305,0.027210884353741496,0.0,14
Mohammad Saifuddin,22.923076923076923,0.863768115942029,0.15384615384615385,0.02318840579710145,10.153846153846153,13,47.2,47.4,5.974683544303797,0.02109704641350211,1.0,22
Rubel Hossain,2.6923076923076925,0.6481481481481481,0.0,0.0787037037037037,1.1923076923076923,52,30.533333333333335,32.24,5.682382133995037,0.031017369727047144,8.0,99
