,MATCH_ID,SCORE
0,Matches/MatchScorecard_ODI.asp?MatchCode=2758,16
1,Matches/MatchScorecard_ODI.asp?MatchCode=2779,12
2,Matches/MatchScorecard_ODI.asp?MatchCode=2781,12
5,Matches/MatchScorecard_ODI.asp?MatchCode=2835,8
6,Matches/MatchScorecard_ODI.asp?MatchCode=2842,24
7,Matches/MatchScorecard_ODI.asp?MatchCode=2845,12
8,Matches/MatchScorecard_ODI.asp?MatchCode=3078,8
9,Matches/MatchScorecard_ODI.asp?MatchCode=3348,32
10,Matches/MatchScorecard_ODI.asp?MatchCode=3349,20
11,Matches/MatchScorecard_ODI.asp?MatchCode=3350,12
12,Matches/MatchScorecard_ODI.asp?MatchCode=3351,16
13,Matches/MatchScorecard_ODI.asp?MatchCode=3354,32
16,Matches/MatchScorecard_ODI.asp?MatchCode=3396,8
19,Matches/MatchScorecard_ODI.asp?MatchCode=3409,8
22,Matches/MatchScorecard_ODI.asp?MatchCode=3413,12
24,Matches/MatchScorecard_ODI.asp?MatchCode=3549,28
25,Matches/MatchScorecard_ODI.asp?MatchCode=3550,12
27,Matches/MatchScorecard_ODI.asp?MatchCode=3679,16
29,Matches/MatchScorecard_ODI.asp?MatchCode=3713,16
30,Matches/MatchScorecard_ODI.asp?MatchCode=3715,8
31,Matches/MatchScorecard_ODI.asp?MatchCode=3717,8
32,Matches/MatchScorecard_ODI.asp?MatchCode=3719,16
33,Matches/MatchScorecard_ODI.asp?MatchCode=3720,8
34,Matches/MatchScorecard_ODI.asp?MatchCode=3745,8
35,Matches/MatchScorecard_ODI.asp?MatchCode=3747,8
36,Matches/MatchScorecard_ODI.asp?MatchCode=3776,48
39,Matches/MatchScorecard_ODI.asp?MatchCode=3797,8
40,Matches/MatchScorecard_ODI.asp?MatchCode=3798,8
41,Matches/MatchScorecard_ODI.asp?MatchCode=3801,8
42,Matches/MatchScorecard_ODI.asp?MatchCode=3802,16
44,Matches/MatchScorecard_ODI.asp?MatchCode=3814,20
45,Matches/MatchScorecard_ODI.asp?MatchCode=3819,12
46,Matches/MatchScorecard_ODI.asp?MatchCode=3820,28
48,Matches/MatchScorecard_ODI.asp?MatchCode=3822,8
50,Matches/MatchScorecard_ODI.asp?MatchCode=3837,16
51,Matches/MatchScorecard_ODI.asp?MatchCode=3838,8
52,Matches/MatchScorecard_ODI.asp?MatchCode=3858,8
53,Matches/MatchScorecard_ODI.asp?MatchCode=3859,12
55,Matches/MatchScorecard_ODI.asp?MatchCode=3863,24
56,Matches/MatchScorecard_ODI.asp?MatchCode=3879,32
57,Matches/MatchScorecard_ODI.asp?MatchCode=3883,12
58,Matches/MatchScorecard_ODI.asp?MatchCode=3921,32
61,Matches/MatchScorecard_ODI.asp?MatchCode=3928,16
62,Matches/MatchScorecard_ODI.asp?MatchCode=3930,8
64,Matches/MatchScorecard_ODI.asp?MatchCode=3939,16
66,Matches/MatchScorecard_ODI.asp?MatchCode=3944,20
67,Matches/MatchScorecard_ODI.asp?MatchCode=4017,12
68,Matches/MatchScorecard_ODI.asp?MatchCode=4018,8
69,Matches/MatchScorecard_ODI.asp?MatchCode=4019,20
72,Matches/MatchScorecard_ODI.asp?MatchCode=4044,16
73,Matches/MatchScorecard_ODI.asp?MatchCode=4045,24
74,Matches/MatchScorecard_ODI.asp?MatchCode=4050,32
75,Matches/MatchScorecard_ODI.asp?MatchCode=4079,24
77,Matches/MatchScorecard_ODI.asp?MatchCode=4082,32
78,Matches/MatchScorecard_ODI.asp?MatchCode=4084,8
79,Matches/MatchScorecard_ODI.asp?MatchCode=4087,16
80,Matches/MatchScorecard_ODI.asp?MatchCode=4103,16
82,Matches/MatchScorecard_ODI.asp?MatchCode=4105,8
84,Matches/MatchScorecard_ODI.asp?MatchCode=4114,8
85,Matches/MatchScorecard_ODI.asp?MatchCode=4172,8
86,Matches/MatchScorecard_ODI.asp?MatchCode=4174,16
87,Matches/MatchScorecard_ODI.asp?MatchCode=4176,24
88,Matches/MatchScorecard_ODI.asp?MatchCode=4177,8
90,Matches/MatchScorecard_ODI.asp?MatchCode=4194,20
92,Matches/MatchScorecard_ODI.asp?MatchCode=4200,8
94,Matches/MatchScorecard_ODI.asp?MatchCode=4204,8
95,Matches/MatchScorecard_ODI.asp?MatchCode=4223,8
99,Matches/MatchScorecard_ODI.asp?MatchCode=4238,16
104,Matches/MatchScorecard_ODI.asp?MatchCode=4297,12
107,Matches/MatchScorecard_ODI.asp?MatchCode=4308,24
108,Matches/MatchScorecard_ODI.asp?MatchCode=4319,16
109,Matches/MatchScorecard_ODI.asp?MatchCode=4324,16
110,Matches/MatchScorecard_ODI.asp?MatchCode=4334,8
111,Matches/MatchScorecard_ODI.asp?MatchCode=4337,24
112,Matches/MatchScorecard_ODI.asp?MatchCode=4340,8
113,Matches/MatchScorecard_ODI.asp?MatchCode=4349,20
114,Matches/MatchScorecard_ODI.asp?MatchCode=4375,24
115,Matches/MatchScorecard_ODI.asp?MatchCode=4376,8
