,matchid,date
86,Matches/MatchScorecard_ODI.asp?MatchCode=3978,2017-01-22
87,Matches/MatchScorecard_ODI.asp?MatchCode=3976,2017-01-19
88,Matches/MatchScorecard_ODI.asp?MatchCode=3974,2017-01-15
89,Matches/MatchScorecard_ODI.asp?MatchCode=4031,2017-01-06
90,Matches/MatchScorecard_T20.asp?MatchCode=0608,2017-01-02
91,Matches/MatchScorecard_ODI.asp?MatchCode=3890,2016-12-02
92,Matches/MatchScorecard_ODI.asp?MatchCode=3889,2016-09-02
93,Matches/MatchScorecard_ODI.asp?MatchCode=3928,2016-08-30
94,Matches/MatchScorecard_ODI.asp?MatchCode=3926,2016-08-27
95,Matches/MatchScorecard_ODI.asp?MatchCode=3925,2016-08-24
96,Matches/MatchScorecard_T20.asp?MatchCode=0580,2016-07-09
97,Matches/MatchScorecard_ODI.asp?MatchCode=3910,2016-06-29
98,Matches/MatchScorecard_ODI.asp?MatchCode=3908,2016-06-26
99,Matches/MatchScorecard_ODI.asp?MatchCode=3906,2016-06-24
100,Matches/MatchScorecard_ODI.asp?MatchCode=3904,2016-06-21
101,Matches/MatchScorecard_ODI.asp?MatchCode=3887,2016-06-02
102,Matches/MatchScorecard_T20.asp?MatchCode=0574,2016-05-07
103,Matches/MatchScorecard_ODI.asp?MatchCode=3932,2016-04-09
104,Matches/MatchScorecard_T20.asp?MatchCode=0568,2016-03-30
105,Matches/MatchScorecard_T20.asp?MatchCode=0564,2016-03-26
106,Matches/MatchScorecard_T20.asp?MatchCode=0559,2016-03-23
107,Matches/MatchScorecard_T20.asp?MatchCode=0553,2016-03-18
108,Matches/MatchScorecard_T20.asp?MatchCode=0550,2016-03-16
109,Matches/MatchScorecard_T20.asp?MatchCode=0570,2016-03-04
110,Matches/MatchScorecard_ODI.asp?MatchCode=3885,2016-03-02
111,Matches/MatchScorecard_T20.asp?MatchCode=0518,2016-02-21
112,Matches/MatchScorecard_T20.asp?MatchCode=0516,2016-02-19
113,Matches/MatchScorecard_ODI.asp?MatchCode=3891,2016-02-14
114,Matches/MatchScorecard_ODI.asp?MatchCode=3911,2016-02-07
115,Matches/MatchScorecard_ODI.asp?MatchCode=3930,2016-01-09
116,Matches/MatchScorecard_ODI.asp?MatchCode=3834,2015-12-09
117,Matches/MatchScorecard_ODI.asp?MatchCode=3805,2015-12-06
118,Matches/MatchScorecard_T20.asp?MatchCode=0486,2015-11-30
119,Matches/MatchScorecard_T20.asp?MatchCode=0481,2015-11-26
120,Matches/MatchScorecard_ODI.asp?MatchCode=3863,2015-11-20
121,Matches/MatchScorecard_ODI.asp?MatchCode=3861,2015-11-17
122,Matches/MatchScorecard_ODI.asp?MatchCode=3859,2015-11-13
123,Matches/MatchScorecard_ODI.asp?MatchCode=3858,2015-11-11
124,Matches/MatchScorecard_ODI.asp?MatchCode=3833,2015-11-09
125,Matches/MatchScorecard_ODI.asp?MatchCode=3804,2015-09-06
126,Matches/MatchScorecard_ODI.asp?MatchCode=3780,2015-09-03
127,Matches/MatchScorecard_T20.asp?MatchCode=0465,2015-08-31
128,Matches/MatchScorecard_ODI.asp?MatchCode=3832,2015-08-09
129,Matches/MatchScorecard_T20.asp?MatchCode=0432,2015-06-23
130,Matches/MatchScorecard_ODI.asp?MatchCode=3809,2015-06-20
131,Matches/MatchScorecard_ODI.asp?MatchCode=3807,2015-06-17
132,Matches/MatchScorecard_ODI.asp?MatchCode=3806,2015-06-14
133,Matches/MatchScorecard_ODI.asp?MatchCode=3831,2015-05-09
134,Matches/MatchScorecard_ODI.asp?MatchCode=3785,2015-03-13
135,Matches/MatchScorecard_ODI.asp?MatchCode=3830,2015-03-09
136,Matches/MatchScorecard_ODI.asp?MatchCode=3761,2015-02-23
137,Matches/MatchScorecard_ODI.asp?MatchCode=3756,2015-02-20
138,Matches/MatchScorecard_ODI.asp?MatchCode=3749,2015-02-14
139,Matches/MatchScorecard_ODI.asp?MatchCode=3744,2015-01-30
140,Matches/MatchScorecard_ODI.asp?MatchCode=3738,2015-01-23
141,Matches/MatchScorecard_ODI.asp?MatchCode=3735,2015-01-20
142,Matches/MatchScorecard_ODI.asp?MatchCode=3727,2015-01-16
143,Matches/MatchScorecard_ODI.asp?MatchCode=3769,2015-01-03
144,Matches/MatchScorecard_ODI.asp?MatchCode=3746,2015-01-02
145,Matches/MatchScorecard_ODI.asp?MatchCode=3718,2014-12-16
146,Matches/MatchScorecard_ODI.asp?MatchCode=3716,2014-12-13
147,Matches/MatchScorecard_ODI.asp?MatchCode=3599,2014-12-01
148,Matches/MatchScorecard_ODI.asp?MatchCode=3706,2014-11-29
149,Matches/MatchScorecard_ODI.asp?MatchCode=3703,2014-11-26
150,Matches/MatchScorecard_T20.asp?MatchCode=0368,2014-11-03
151,Matches/MatchScorecard_ODI.asp?MatchCode=3714,2014-10-12
152,Matches/MatchScorecard_ODI.asp?MatchCode=3637,2014-09-05
153,Matches/MatchScorecard_T20.asp?MatchCode=0367,2014-09-03
154,Matches/MatchScorecard_ODI.asp?MatchCode=3667,2014-08-30
155,Matches/MatchScorecard_ODI.asp?MatchCode=3664,2014-08-27
156,Matches/MatchScorecard_ODI.asp?MatchCode=3712,2014-07-12
157,Matches/MatchScorecard_T20.asp?MatchCode=0411,2014-07-09
158,Matches/MatchScorecard_ODI.asp?MatchCode=3641,2014-05-31
159,Matches/MatchScorecard_ODI.asp?MatchCode=3640,2014-05-28
160,Matches/MatchScorecard_ODI.asp?MatchCode=3639,2014-05-25
161,Matches/MatchScorecard_ODI.asp?MatchCode=3638,2014-05-22
162,Matches/MatchScorecard_T20.asp?MatchCode=0407,2014-05-20
163,Matches/MatchScorecard_ODI.asp?MatchCode=3672,2014-05-09
164,Matches/MatchScorecard_ODI.asp?MatchCode=3629,2014-05-03
165,Matches/MatchScorecard_T20.asp?MatchCode=0400,2014-03-31
166,Matches/MatchScorecard_T20.asp?MatchCode=0397,2014-03-29
167,Matches/MatchScorecard_T20.asp?MatchCode=0393,2014-03-27
168,Matches/MatchScorecard_T20.asp?MatchCode=0386,2014-03-22
169,Matches/MatchScorecard_T20.asp?MatchCode=0370,2014-03-13
170,Matches/MatchScorecard_ODI.asp?MatchCode=3710,2014-03-12
171,Matches/MatchScorecard_ODI.asp?MatchCode=3642,2014-03-06
172,Matches/MatchScorecard_ODI.asp?MatchCode=3670,2014-02-09
