,matchid,date
87,Matches/MatchScorecard_T20.asp?MatchCode=0348,2013-11-22
88,Matches/MatchScorecard_T20.asp?MatchCode=0345,2013-11-20
89,Matches/MatchScorecard_T20.asp?MatchCode=0339,2013-11-15
90,Matches/MatchScorecard_T20.asp?MatchCode=0338,2013-11-13
91,Matches/MatchScorecard_T20.asp?MatchCode=0355,2013-11-12
92,Matches/MatchScorecard_ODI.asp?MatchCode=3577,2013-11-11
93,Matches/MatchScorecard_ODI.asp?MatchCode=3569,2013-10-30
94,Matches/MatchScorecard_ODI.asp?MatchCode=3550,2013-08-31
95,Matches/MatchScorecard_ODI.asp?MatchCode=3549,2013-08-29
96,Matches/MatchScorecard_ODI.asp?MatchCode=3546,2013-08-27
97,Matches/MatchScorecard_T20.asp?MatchCode=0331,2013-08-24
98,Matches/MatchScorecard_T20.asp?MatchCode=0330,2013-08-23
99,Matches/MatchScorecard_T20.asp?MatchCode=0354,2013-08-12
100,Matches/MatchScorecard_ODI.asp?MatchCode=3575,2013-08-11
101,Matches/MatchScorecard_T20.asp?MatchCode=0326,2013-07-28
102,Matches/MatchScorecard_T20.asp?MatchCode=0325,2013-07-27
103,Matches/MatchScorecard_ODI.asp?MatchCode=3538,2013-07-24
104,Matches/MatchScorecard_ODI.asp?MatchCode=3535,2013-07-21
105,Matches/MatchScorecard_ODI.asp?MatchCode=3533,2013-07-19
106,Matches/MatchScorecard_ODI.asp?MatchCode=3532,2013-07-16
107,Matches/MatchScorecard_ODI.asp?MatchCode=3531,2013-07-14
108,Matches/MatchScorecard_ODI.asp?MatchCode=3574,2013-06-11
109,Matches/MatchScorecard_T20.asp?MatchCode=0311,2013-03-03
110,Matches/MatchScorecard_ODI.asp?MatchCode=3571,2013-01-11
111,Matches/MatchScorecard_T20.asp?MatchCode=0301,2012-12-28
112,Matches/MatchScorecard_T20.asp?MatchCode=0299,2012-12-25
113,Matches/MatchScorecard_T20.asp?MatchCode=0247,2012-03-06
114,Matches/MatchScorecard_T20.asp?MatchCode=0246,2012-01-06
115,Matches/MatchScorecard_ODI.asp?MatchCode=3258,2011-08-03
116,Matches/MatchScorecard_ODI.asp?MatchCode=3291,2011-05-05
117,Matches/MatchScorecard_ODI.asp?MatchCode=3232,2011-05-02
118,Matches/MatchScorecard_ODI.asp?MatchCode=3289,2011-04-28
119,Matches/MatchScorecard_ODI.asp?MatchCode=3288,2011-04-25
120,Matches/MatchScorecard_ODI.asp?MatchCode=3287,2011-04-23
121,Matches/MatchScorecard_T20.asp?MatchCode=0201,2011-04-21
122,Matches/MatchScorecard_ODI.asp?MatchCode=3267,2011-03-14
123,Matches/MatchScorecard_ODI.asp?MatchCode=3251,2011-03-03
124,Matches/MatchScorecard_ODI.asp?MatchCode=3230,2011-03-02
125,Matches/MatchScorecard_ODI.asp?MatchCode=3244,2011-02-26
126,Matches/MatchScorecard_ODI.asp?MatchCode=3240,2011-02-23
127,Matches/MatchScorecard_ODI.asp?MatchCode=3290,2011-02-05
128,Matches/MatchScorecard_ODI.asp?MatchCode=3225,2011-01-29
129,Matches/MatchScorecard_ODI.asp?MatchCode=3223,2011-01-26
130,Matches/MatchScorecard_ODI.asp?MatchCode=3228,2011-01-02
131,Matches/MatchScorecard_T20.asp?MatchCode=0197,2010-12-30
132,Matches/MatchScorecard_T20.asp?MatchCode=0196,2010-12-28
133,Matches/MatchScorecard_T20.asp?MatchCode=0195,2010-12-26
134,Matches/MatchScorecard_T20.asp?MatchCode=0096,2009-07-06
135,Matches/MatchScorecard_T20.asp?MatchCode=0090,2009-07-05
136,Matches/MatchScorecard_ODI.asp?MatchCode=2969,2009-04-27
137,Matches/MatchScorecard_ODI.asp?MatchCode=2968,2009-04-24
138,Matches/MatchScorecard_ODI.asp?MatchCode=2971,2009-03-05
139,Matches/MatchScorecard_ODI.asp?MatchCode=2970,2009-01-05
