,matchid,date
86,Matches/MatchScorecard_ODI.asp?MatchCode=3925,2016-08-24
87,Matches/MatchScorecard_ODI.asp?MatchCode=3946,2016-07-10
88,Matches/MatchScorecard_T20.asp?MatchCode=0580,2016-07-09
89,Matches/MatchScorecard_ODI.asp?MatchCode=3910,2016-06-29
90,Matches/MatchScorecard_ODI.asp?MatchCode=3908,2016-06-26
91,Matches/MatchScorecard_ODI.asp?MatchCode=3906,2016-06-24
92,Matches/MatchScorecard_ODI.asp?MatchCode=3904,2016-06-21
93,Matches/MatchScorecard_ODI.asp?MatchCode=3887,2016-06-02
94,Matches/MatchScorecard_T20.asp?MatchCode=0574,2016-05-07
95,Matches/MatchScorecard_T20.asp?MatchCode=0568,2016-03-30
96,Matches/MatchScorecard_T20.asp?MatchCode=0564,2016-03-26
97,Matches/MatchScorecard_T20.asp?MatchCode=0559,2016-03-23
98,Matches/MatchScorecard_T20.asp?MatchCode=0553,2016-03-18
99,Matches/MatchScorecard_T20.asp?MatchCode=0550,2016-03-16
100,Matches/MatchScorecard_T20.asp?MatchCode=0570,2016-03-04
101,Matches/MatchScorecard_ODI.asp?MatchCode=3885,2016-03-02
102,Matches/MatchScorecard_T20.asp?MatchCode=0518,2016-02-21
103,Matches/MatchScorecard_T20.asp?MatchCode=0516,2016-02-19
104,Matches/MatchScorecard_ODI.asp?MatchCode=3891,2016-02-14
105,Matches/MatchScorecard_ODI.asp?MatchCode=3911,2016-02-07
106,Matches/MatchScorecard_ODI.asp?MatchCode=3805,2015-12-06
107,Matches/MatchScorecard_T20.asp?MatchCode=0486,2015-11-30
108,Matches/MatchScorecard_T20.asp?MatchCode=0482,2015-11-27
109,Matches/MatchScorecard_ODI.asp?MatchCode=3863,2015-11-20
110,Matches/MatchScorecard_ODI.asp?MatchCode=3861,2015-11-17
111,Matches/MatchScorecard_ODI.asp?MatchCode=3859,2015-11-13
112,Matches/MatchScorecard_ODI.asp?MatchCode=3858,2015-11-11
113,Matches/MatchScorecard_ODI.asp?MatchCode=3804,2015-09-06
114,Matches/MatchScorecard_ODI.asp?MatchCode=3780,2015-09-03
115,Matches/MatchScorecard_T20.asp?MatchCode=0465,2015-08-31
116,Matches/MatchScorecard_ODI.asp?MatchCode=3807,2015-06-17
117,Matches/MatchScorecard_ODI.asp?MatchCode=3806,2015-06-14
118,Matches/MatchScorecard_ODI.asp?MatchCode=3831,2015-05-09
119,Matches/MatchScorecard_ODI.asp?MatchCode=3785,2015-03-13
120,Matches/MatchScorecard_ODI.asp?MatchCode=3830,2015-03-09
121,Matches/MatchScorecard_ODI.asp?MatchCode=3761,2015-02-23
122,Matches/MatchScorecard_ODI.asp?MatchCode=3756,2015-02-20
123,Matches/MatchScorecard_ODI.asp?MatchCode=3749,2015-02-14
124,Matches/MatchScorecard_ODI.asp?MatchCode=3744,2015-01-30
125,Matches/MatchScorecard_ODI.asp?MatchCode=3738,2015-01-23
126,Matches/MatchScorecard_ODI.asp?MatchCode=3735,2015-01-20
127,Matches/MatchScorecard_ODI.asp?MatchCode=3727,2015-01-16
128,Matches/MatchScorecard_ODI.asp?MatchCode=3769,2015-01-03
129,Matches/MatchScorecard_ODI.asp?MatchCode=3746,2015-01-02
130,Matches/MatchScorecard_ODI.asp?MatchCode=3718,2014-12-16
131,Matches/MatchScorecard_ODI.asp?MatchCode=3716,2014-12-13
132,Matches/MatchScorecard_ODI.asp?MatchCode=3599,2014-12-01
133,Matches/MatchScorecard_ODI.asp?MatchCode=3706,2014-11-29
134,Matches/MatchScorecard_ODI.asp?MatchCode=3703,2014-11-26
135,Matches/MatchScorecard_T20.asp?MatchCode=0368,2014-11-03
136,Matches/MatchScorecard_ODI.asp?MatchCode=3714,2014-10-12
137,Matches/MatchScorecard_ODI.asp?MatchCode=3637,2014-09-05
138,Matches/MatchScorecard_T20.asp?MatchCode=0367,2014-09-03
139,Matches/MatchScorecard_ODI.asp?MatchCode=3667,2014-08-30
140,Matches/MatchScorecard_ODI.asp?MatchCode=3664,2014-08-27
141,Matches/MatchScorecard_ODI.asp?MatchCode=3712,2014-07-12
142,Matches/MatchScorecard_T20.asp?MatchCode=0411,2014-07-09
143,Matches/MatchScorecard_ODI.asp?MatchCode=3641,2014-05-31
144,Matches/MatchScorecard_ODI.asp?MatchCode=3640,2014-05-28
145,Matches/MatchScorecard_ODI.asp?MatchCode=3639,2014-05-25
146,Matches/MatchScorecard_ODI.asp?MatchCode=3638,2014-05-22
147,Matches/MatchScorecard_T20.asp?MatchCode=0407,2014-05-20
148,Matches/MatchScorecard_ODI.asp?MatchCode=3672,2014-05-09
149,Matches/MatchScorecard_ODI.asp?MatchCode=3629,2014-05-03
150,Matches/MatchScorecard_T20.asp?MatchCode=0400,2014-03-31
151,Matches/MatchScorecard_T20.asp?MatchCode=0397,2014-03-29
152,Matches/MatchScorecard_T20.asp?MatchCode=0393,2014-03-27
153,Matches/MatchScorecard_T20.asp?MatchCode=0386,2014-03-22
154,Matches/MatchScorecard_T20.asp?MatchCode=0370,2014-03-13
155,Matches/MatchScorecard_ODI.asp?MatchCode=3710,2014-03-12
156,Matches/MatchScorecard_ODI.asp?MatchCode=3642,2014-03-06
157,Matches/MatchScorecard_ODI.asp?MatchCode=3622,2014-02-28
158,Matches/MatchScorecard_ODI.asp?MatchCode=3670,2014-02-09
159,Matches/MatchScorecard_ODI.asp?MatchCode=3625,2014-02-03
160,Matches/MatchScorecard_T20.asp?MatchCode=0361,2014-02-02
161,Matches/MatchScorecard_T20.asp?MatchCode=0360,2014-01-31
162,Matches/MatchScorecard_T20.asp?MatchCode=0359,2014-01-29
163,Matches/MatchScorecard_ODI.asp?MatchCode=3608,2014-01-26
164,Matches/MatchScorecard_ODI.asp?MatchCode=3606,2014-01-24
165,Matches/MatchScorecard_ODI.asp?MatchCode=3602,2014-01-19
166,Matches/MatchScorecard_ODI.asp?MatchCode=3600,2014-01-17
167,Matches/MatchScorecard_T20.asp?MatchCode=0305,2013-12-02
168,Matches/MatchScorecard_ODI.asp?MatchCode=3557,2013-11-09
169,Matches/MatchScorecard_ODI.asp?MatchCode=3559,2013-09-16
170,Matches/MatchScorecard_ODI.asp?MatchCode=3558,2013-09-14
171,Matches/MatchScorecard_T20.asp?MatchCode=0304,2013-09-02
172,Matches/MatchScorecard_T20.asp?MatchCode=0333,2013-08-31
173,Matches/MatchScorecard_T20.asp?MatchCode=0332,2013-08-29
174,Matches/MatchScorecard_ODI.asp?MatchCode=3555,2013-08-09
175,Matches/MatchScorecard_ODI.asp?MatchCode=3507,2013-08-06
176,Matches/MatchScorecard_T20.asp?MatchCode=0322,2013-06-27
177,Matches/MatchScorecard_T20.asp?MatchCode=0321,2013-06-25
178,Matches/MatchScorecard_ODI.asp?MatchCode=3519,2013-06-23
179,Matches/MatchScorecard_ODI.asp?MatchCode=3517,2013-06-19
180,Matches/MatchScorecard_ODI.asp?MatchCode=3515,2013-06-16
181,Matches/MatchScorecard_ODI.asp?MatchCode=3512,2013-06-13
182,Matches/MatchScorecard_ODI.asp?MatchCode=3501,2013-05-31
183,Matches/MatchScorecard_ODI.asp?MatchCode=3504,2013-05-06
184,Matches/MatchScorecard_ODI.asp?MatchCode=3551,2013-03-09
185,Matches/MatchScorecard_ODI.asp?MatchCode=3479,2013-02-23
186,Matches/MatchScorecard_ODI.asp?MatchCode=3477,2013-02-20
187,Matches/MatchScorecard_ODI.asp?MatchCode=3476,2013-02-17
188,Matches/MatchScorecard_T20.asp?MatchCode=0307,2013-02-15
189,Matches/MatchScorecard_ODI.asp?MatchCode=3503,2013-02-06
190,Matches/MatchScorecard_ODI.asp?MatchCode=3470,2013-01-27
191,Matches/MatchScorecard_ODI.asp?MatchCode=3468,2013-01-23
192,Matches/MatchScorecard_T20.asp?MatchCode=0297,2012-12-22
193,Matches/MatchScorecard_T20.asp?MatchCode=0295,2012-12-20
194,Matches/MatchScorecard_T20.asp?MatchCode=0265,2012-12-09
195,Matches/MatchScorecard_T20.asp?MatchCode=0263,2012-10-09
196,Matches/MatchScorecard_T20.asp?MatchCode=0282,2012-09-29
197,Matches/MatchScorecard_T20.asp?MatchCode=0279,2012-09-27
198,Matches/MatchScorecard_T20.asp?MatchCode=0275,2012-09-23
199,Matches/MatchScorecard_T20.asp?MatchCode=0271,2012-09-21
200,Matches/MatchScorecard_T20.asp?MatchCode=0261,2012-08-09
201,Matches/MatchScorecard_T20.asp?MatchCode=0248,2012-06-24
202,Matches/MatchScorecard_T20.asp?MatchCode=0231,2012-02-27
203,Matches/MatchScorecard_T20.asp?MatchCode=0230,2012-02-25
204,Matches/MatchScorecard_T20.asp?MatchCode=0228,2012-02-23
205,Matches/MatchScorecard_ODI.asp?MatchCode=3383,2012-02-21
206,Matches/MatchScorecard_T20.asp?MatchCode=0287,2012-01-10
207,Matches/MatchScorecard_T20.asp?MatchCode=0216,2011-10-29
208,Matches/MatchScorecard_T20.asp?MatchCode=0210,2011-09-25
209,Matches/MatchScorecard_T20.asp?MatchCode=0209,2011-09-23
210,Matches/MatchScorecard_T20.asp?MatchCode=0206,2011-08-31
