,matchid,date
87,Matches/MatchScorecard_ODI.asp?MatchCode=3847,2015-10-20
88,Matches/MatchScorecard_ODI.asp?MatchCode=3846,2015-10-18
89,Matches/MatchScorecard_ODI.asp?MatchCode=3843,2015-10-16
90,Matches/MatchScorecard_T20.asp?MatchCode=0441,2015-10-07
91,Matches/MatchScorecard_T20.asp?MatchCode=0440,2015-09-07
92,Matches/MatchScorecard_T20.asp?MatchCode=0456,2015-07-25
93,Matches/MatchScorecard_T20.asp?MatchCode=0454,2015-07-23
94,Matches/MatchScorecard_T20.asp?MatchCode=0453,2015-07-21
95,Matches/MatchScorecard_ODI.asp?MatchCode=3628,2014-05-03
96,Matches/MatchScorecard_T20.asp?MatchCode=0380,2014-03-20
97,Matches/MatchScorecard_T20.asp?MatchCode=0376,2014-03-18
98,Matches/MatchScorecard_T20.asp?MatchCode=0372,2014-03-16
99,Matches/MatchScorecard_ODI.asp?MatchCode=3626,2014-03-03
100,Matches/MatchScorecard_ODI.asp?MatchCode=3620,2014-02-27
101,Matches/MatchScorecard_ODI.asp?MatchCode=3623,2014-01-03
102,Matches/MatchScorecard_T20.asp?MatchCode=0353,2013-11-30
103,Matches/MatchScorecard_T20.asp?MatchCode=0350,2013-11-24
104,Matches/MatchScorecard_T20.asp?MatchCode=0341,2013-11-16
105,Matches/MatchScorecard_T20.asp?MatchCode=0340,2013-11-15
106,Matches/MatchScorecard_T20.asp?MatchCode=0336,2013-11-10
107,Matches/MatchScorecard_T20.asp?MatchCode=0334,2013-09-30
108,Matches/MatchScorecard_T20.asp?MatchCode=0354,2013-08-12
109,Matches/MatchScorecard_ODI.asp?MatchCode=3483,2013-08-03
110,Matches/MatchScorecard_ODI.asp?MatchCode=3482,2013-06-03
111,Matches/MatchScorecard_ODI.asp?MatchCode=3561,2013-04-10
112,Matches/MatchScorecard_T20.asp?MatchCode=0313,2013-04-03
113,Matches/MatchScorecard_T20.asp?MatchCode=0310,2013-03-03
114,Matches/MatchScorecard_ODI.asp?MatchCode=3560,2013-02-10
115,Matches/MatchScorecard_ODI.asp?MatchCode=3372,2012-10-02
116,Matches/MatchScorecard_T20.asp?MatchCode=0271,2012-09-21
117,Matches/MatchScorecard_T20.asp?MatchCode=0268,2012-09-19
118,Matches/MatchScorecard_ODI.asp?MatchCode=3437,2012-08-25
119,Matches/MatchScorecard_ODI.asp?MatchCode=3421,2012-05-07
120,Matches/MatchScorecard_ODI.asp?MatchCode=3407,2012-03-31
121,Matches/MatchScorecard_ODI.asp?MatchCode=3406,2012-03-29
122,Matches/MatchScorecard_T20.asp?MatchCode=0242,2012-03-24
