,matchid,date
87,Matches/MatchScorecard_ODI.asp?MatchCode=4038,2017-08-06
88,Matches/MatchScorecard_T20.asp?MatchCode=0647,2017-07-11
89,Matches/MatchScorecard_T20.asp?MatchCode=0637,2017-07-10
90,Matches/MatchScorecard_ODI.asp?MatchCode=4053,2017-06-30
91,Matches/MatchScorecard_ODI.asp?MatchCode=4052,2017-06-25
92,Matches/MatchScorecard_ODI.asp?MatchCode=4051,2017-06-23
93,Matches/MatchScorecard_ODI.asp?MatchCode=4050,2017-06-18
94,Matches/MatchScorecard_ODI.asp?MatchCode=4047,2017-06-15
95,Matches/MatchScorecard_T20.asp?MatchCode=0632,2017-06-09
96,Matches/MatchScorecard_ODI.asp?MatchCode=4057,2017-06-07
97,Matches/MatchScorecard_T20.asp?MatchCode=0646,2017-04-11
98,Matches/MatchScorecard_ODI.asp?MatchCode=4034,2017-04-06
99,Matches/MatchScorecard_ODI.asp?MatchCode=4065,2017-03-09
100,Matches/MatchScorecard_ODI.asp?MatchCode=4056,2017-02-07
101,Matches/MatchScorecard_T20.asp?MatchCode=0607,2017-01-29
102,Matches/MatchScorecard_T20.asp?MatchCode=0606,2017-01-26
103,Matches/MatchScorecard_ODI.asp?MatchCode=3978,2017-01-22
104,Matches/MatchScorecard_ODI.asp?MatchCode=3976,2017-01-19
105,Matches/MatchScorecard_ODI.asp?MatchCode=3974,2017-01-15
106,Matches/MatchScorecard_T20.asp?MatchCode=0645,2017-01-11
107,Matches/MatchScorecard_ODI.asp?MatchCode=4076,2017-01-10
108,Matches/MatchScorecard_T20.asp?MatchCode=0608,2017-01-02
109,Matches/MatchScorecard_ODI.asp?MatchCode=3874,2016-12-01
110,Matches/MatchScorecard_ODI.asp?MatchCode=3955,2016-10-29
111,Matches/MatchScorecard_ODI.asp?MatchCode=3954,2016-10-26
112,Matches/MatchScorecard_ODI.asp?MatchCode=3953,2016-10-23
113,Matches/MatchScorecard_ODI.asp?MatchCode=3952,2016-10-20
114,Matches/MatchScorecard_ODI.asp?MatchCode=3951,2016-10-16
115,Matches/MatchScorecard_T20.asp?MatchCode=0576,2016-08-28
116,Matches/MatchScorecard_T20.asp?MatchCode=0575,2016-08-27
117,Matches/MatchScorecard_T20.asp?MatchCode=0534,2016-06-03
118,Matches/MatchScorecard_T20.asp?MatchCode=0569,2016-03-31
119,Matches/MatchScorecard_T20.asp?MatchCode=0566,2016-03-27
120,Matches/MatchScorecard_T20.asp?MatchCode=0560,2016-03-23
121,Matches/MatchScorecard_T20.asp?MatchCode=0554,2016-03-19
122,Matches/MatchScorecard_T20.asp?MatchCode=0548,2016-03-15
123,Matches/MatchScorecard_T20.asp?MatchCode=0530,2016-03-03
124,Matches/MatchScorecard_T20.asp?MatchCode=0525,2016-02-27
125,Matches/MatchScorecard_T20.asp?MatchCode=0522,2016-02-24
126,Matches/MatchScorecard_T20.asp?MatchCode=0501,2016-01-31
127,Matches/MatchScorecard_T20.asp?MatchCode=0499,2016-01-29
128,Matches/MatchScorecard_T20.asp?MatchCode=0498,2016-01-26
129,Matches/MatchScorecard_ODI.asp?MatchCode=3878,2016-01-23
130,Matches/MatchScorecard_ODI.asp?MatchCode=3877,2016-01-20
131,Matches/MatchScorecard_ODI.asp?MatchCode=3876,2016-01-17
132,Matches/MatchScorecard_ODI.asp?MatchCode=3875,2016-01-15
133,Matches/MatchScorecard_T20.asp?MatchCode=0528,2016-01-03
134,Matches/MatchScorecard_ODI.asp?MatchCode=3841,2015-11-10
135,Matches/MatchScorecard_ODI.asp?MatchCode=3851,2015-10-25
136,Matches/MatchScorecard_ODI.asp?MatchCode=3848,2015-10-22
137,Matches/MatchScorecard_ODI.asp?MatchCode=3845,2015-10-18
138,Matches/MatchScorecard_ODI.asp?MatchCode=3844,2015-10-14
139,Matches/MatchScorecard_ODI.asp?MatchCode=3781,2015-10-03
140,Matches/MatchScorecard_ODI.asp?MatchCode=3811,2015-06-24
141,Matches/MatchScorecard_ODI.asp?MatchCode=3810,2015-06-21
142,Matches/MatchScorecard_ODI.asp?MatchCode=3808,2015-06-18
143,Matches/MatchScorecard_ODI.asp?MatchCode=3775,2015-06-03
144,Matches/MatchScorecard_T20.asp?MatchCode=0469,2015-05-10
145,Matches/MatchScorecard_ODI.asp?MatchCode=3795,2015-03-26
146,Matches/MatchScorecard_ODI.asp?MatchCode=3791,2015-03-19
147,Matches/MatchScorecard_ODI.asp?MatchCode=3786,2015-03-14
148,Matches/MatchScorecard_ODI.asp?MatchCode=3768,2015-02-28
149,Matches/MatchScorecard_ODI.asp?MatchCode=3760,2015-02-22
150,Matches/MatchScorecard_ODI.asp?MatchCode=3751,2015-02-15
151,Matches/MatchScorecard_T20.asp?MatchCode=0468,2015-02-10
152,Matches/MatchScorecard_ODI.asp?MatchCode=3744,2015-01-30
153,Matches/MatchScorecard_ODI.asp?MatchCode=3741,2015-01-26
154,Matches/MatchScorecard_ODI.asp?MatchCode=3735,2015-01-20
155,Matches/MatchScorecard_ODI.asp?MatchCode=3731,2015-01-18
156,Matches/MatchScorecard_ODI.asp?MatchCode=3696,2014-11-16
157,Matches/MatchScorecard_ODI.asp?MatchCode=3693,2014-11-13
158,Matches/MatchScorecard_ODI.asp?MatchCode=3680,2014-11-10
159,Matches/MatchScorecard_ODI.asp?MatchCode=3683,2014-10-17
160,Matches/MatchScorecard_ODI.asp?MatchCode=3692,2014-09-11
161,Matches/MatchScorecard_ODI.asp?MatchCode=3667,2014-08-30
162,Matches/MatchScorecard_ODI.asp?MatchCode=3664,2014-08-27
163,Matches/MatchScorecard_ODI.asp?MatchCode=3678,2014-08-10
164,Matches/MatchScorecard_T20.asp?MatchCode=0411,2014-07-09
165,Matches/MatchScorecard_ODI.asp?MatchCode=3689,2014-06-11
166,Matches/MatchScorecard_T20.asp?MatchCode=0406,2014-06-04
167,Matches/MatchScorecard_ODI.asp?MatchCode=3672,2014-05-09
168,Matches/MatchScorecard_ODI.asp?MatchCode=3628,2014-05-03
169,Matches/MatchScorecard_T20.asp?MatchCode=0405,2014-04-04
170,Matches/MatchScorecard_T20.asp?MatchCode=0399,2014-03-30
171,Matches/MatchScorecard_T20.asp?MatchCode=0395,2014-03-28
172,Matches/MatchScorecard_T20.asp?MatchCode=0388,2014-03-23
173,Matches/MatchScorecard_T20.asp?MatchCode=0384,2014-03-21
174,Matches/MatchScorecard_ODI.asp?MatchCode=3621,2014-02-28
175,Matches/MatchScorecard_ODI.asp?MatchCode=3619,2014-02-26
176,Matches/MatchScorecard_ODI.asp?MatchCode=3688,2014-02-11
177,Matches/MatchScorecard_ODI.asp?MatchCode=3670,2014-02-09
178,Matches/MatchScorecard_ODI.asp?MatchCode=3612,2014-01-31
179,Matches/MatchScorecard_ODI.asp?MatchCode=3609,2014-01-28
180,Matches/MatchScorecard_ODI.asp?MatchCode=3607,2014-01-25
181,Matches/MatchScorecard_ODI.asp?MatchCode=3603,2014-01-22
182,Matches/MatchScorecard_ODI.asp?MatchCode=3601,2014-01-19
183,Matches/MatchScorecard_ODI.asp?MatchCode=3624,2014-01-03
184,Matches/MatchScorecard_ODI.asp?MatchCode=3583,2013-11-27
185,Matches/MatchScorecard_ODI.asp?MatchCode=3581,2013-11-24
186,Matches/MatchScorecard_ODI.asp?MatchCode=3580,2013-11-21
187,Matches/MatchScorecard_ODI.asp?MatchCode=3588,2013-11-12
188,Matches/MatchScorecard_ODI.asp?MatchCode=3530,2013-11-07
189,Matches/MatchScorecard_ODI.asp?MatchCode=3510,2013-11-06
190,Matches/MatchScorecard_ODI.asp?MatchCode=3459,2013-11-01
191,Matches/MatchScorecard_ODI.asp?MatchCode=3568,2013-10-30
192,Matches/MatchScorecard_ODI.asp?MatchCode=3565,2013-10-23
193,Matches/MatchScorecard_ODI.asp?MatchCode=3564,2013-10-19
194,Matches/MatchScorecard_ODI.asp?MatchCode=3563,2013-10-16
195,Matches/MatchScorecard_ODI.asp?MatchCode=3562,2013-10-13
196,Matches/MatchScorecard_T20.asp?MatchCode=0335,2013-10-10
197,Matches/MatchScorecard_ODI.asp?MatchCode=3529,2013-09-07
198,Matches/MatchScorecard_ODI.asp?MatchCode=3587,2013-08-12
199,Matches/MatchScorecard_ODI.asp?MatchCode=3541,2013-07-28
200,Matches/MatchScorecard_ODI.asp?MatchCode=3539,2013-07-26
201,Matches/MatchScorecard_ODI.asp?MatchCode=3537,2013-07-24
202,Matches/MatchScorecard_ODI.asp?MatchCode=3521,2013-06-30
203,Matches/MatchScorecard_ODI.asp?MatchCode=3519,2013-06-23
204,Matches/MatchScorecard_ODI.asp?MatchCode=3518,2013-06-20
205,Matches/MatchScorecard_ODI.asp?MatchCode=3514,2013-06-15
206,Matches/MatchScorecard_ODI.asp?MatchCode=3505,2013-06-06
207,Matches/MatchScorecard_ODI.asp?MatchCode=3457,2013-06-01
208,Matches/MatchScorecard_ODI.asp?MatchCode=3586,2013-05-12
209,Matches/MatchScorecard_ODI.asp?MatchCode=3525,2013-05-07
210,Matches/MatchScorecard_ODI.asp?MatchCode=3545,2013-03-08
