,matchid,date
86,Matches/MatchScorecard_T20.asp?MatchCode=0394,2014-03-28
87,Matches/MatchScorecard_T20.asp?MatchCode=0387,2014-03-23
88,Matches/MatchScorecard_T20.asp?MatchCode=0371,2014-03-14
89,Matches/MatchScorecard_ODI.asp?MatchCode=3669,2014-02-09
90,Matches/MatchScorecard_T20.asp?MatchCode=0361,2014-02-02
91,Matches/MatchScorecard_T20.asp?MatchCode=0360,2014-01-31
92,Matches/MatchScorecard_T20.asp?MatchCode=0402,2014-01-04
93,Matches/MatchScorecard_ODI.asp?MatchCode=3458,2013-11-01
94,Matches/MatchScorecard_ODI.asp?MatchCode=3507,2013-08-06
95,Matches/MatchScorecard_ODI.asp?MatchCode=3473,2013-06-02
96,Matches/MatchScorecard_ODI.asp?MatchCode=3472,2013-03-02
97,Matches/MatchScorecard_T20.asp?MatchCode=0303,2013-01-28
98,Matches/MatchScorecard_T20.asp?MatchCode=0302,2013-01-26
99,Matches/MatchScorecard_ODI.asp?MatchCode=3467,2013-01-23
100,Matches/MatchScorecard_ODI.asp?MatchCode=3465,2013-01-20
101,Matches/MatchScorecard_ODI.asp?MatchCode=3462,2013-01-18
102,Matches/MatchScorecard_ODI.asp?MatchCode=3471,2013-01-02
103,Matches/MatchScorecard_ODI.asp?MatchCode=3373,2012-12-02
104,Matches/MatchScorecard_T20.asp?MatchCode=0262,2012-10-09
105,Matches/MatchScorecard_ODI.asp?MatchCode=3371,2012-10-02
106,Matches/MatchScorecard_T20.asp?MatchCode=0284,2012-09-30
107,Matches/MatchScorecard_T20.asp?MatchCode=0281,2012-09-28
108,Matches/MatchScorecard_T20.asp?MatchCode=0273,2012-09-22
109,Matches/MatchScorecard_T20.asp?MatchCode=0267,2012-09-19
110,Matches/MatchScorecard_ODI.asp?MatchCode=3441,2012-08-31
111,Matches/MatchScorecard_ODI.asp?MatchCode=3439,2012-08-28
112,Matches/MatchScorecard_ODI.asp?MatchCode=3437,2012-08-25
113,Matches/MatchScorecard_T20.asp?MatchCode=0259,2012-07-09
114,Matches/MatchScorecard_T20.asp?MatchCode=0291,2012-05-10
115,Matches/MatchScorecard_ODI.asp?MatchCode=3367,2012-05-02
116,Matches/MatchScorecard_ODI.asp?MatchCode=3443,2012-03-09
117,Matches/MatchScorecard_ODI.asp?MatchCode=3380,2012-02-19
118,Matches/MatchScorecard_ODI.asp?MatchCode=3377,2012-02-17
119,Matches/MatchScorecard_T20.asp?MatchCode=0288,2012-02-10
120,Matches/MatchScorecard_ODI.asp?MatchCode=3193,2010-10-20
121,Matches/MatchScorecard_ODI.asp?MatchCode=3202,2010-07-11
