,matchid,date
69,Matches/MatchScorecard_ODI.asp?MatchCode=4082,2017-10-18
70,Matches/MatchScorecard_ODI.asp?MatchCode=4081,2017-10-16
71,Matches/MatchScorecard_ODI.asp?MatchCode=4079,2017-10-13
72,Matches/MatchScorecard_T20.asp?MatchCode=0636,2017-09-15
73,Matches/MatchScorecard_T20.asp?MatchCode=0635,2017-09-13
74,Matches/MatchScorecard_ODI.asp?MatchCode=4037,2017-07-06
75,Matches/MatchScorecard_ODI.asp?MatchCode=4050,2017-06-18
76,Matches/MatchScorecard_ODI.asp?MatchCode=4045,2017-06-14
77,Matches/MatchScorecard_T20.asp?MatchCode=0617,2017-03-30
78,Matches/MatchScorecard_T20.asp?MatchCode=0619,2017-02-04
79,Matches/MatchScorecard_T20.asp?MatchCode=0618,2017-01-04
