match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_ODI.asp?MatchCode=4326,51,cRootbRashid,91.67,3,2
Matches/MatchScorecard_ODI.asp?MatchCode=4323,0,c&amp;bImranTahir,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4377,38,runout,67.31,1,1
Matches/MatchScorecard_ODI.asp?MatchCode=4348,46,cHolderbBrathwaite,125.00,4,1
Matches/MatchScorecard_ODI.asp?MatchCode=4131,1,csubbChatara,16.67,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4203,0,bKuldeepYadav,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4202,41,cMahmudullahbMashrafeMortaza,82.98,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=4200,83,bShaheenShahAfridi,119.64,2,5
Matches/MatchScorecard_ODI.asp?MatchCode=4198,8,bShakibAlHasan,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4195,1,lbwbJayasuriya,20.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4129,3,cChatarabCremer,30.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0659,34,bCremer,192.86,1,3
Matches/MatchScorecard_T20.asp?MatchCode=0658,13,lbwbChatara,73.33,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=4164,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4160,5,c†GhulamShabberbQadeerAhmed,200.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4132,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4043,13,c†HopebJoseph,57.89,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=4040,2,lbwbNurse,18.18,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4046,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0627,14,cWilliamsbPowell,56.52,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0626,11,cSimmonsbBrathwaite,75.00,0,1
Matches/MatchScorecard_ODI.asp?MatchCode=3998,19,lbwbWilliams,52.94,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3996,23,c†MoorbMpofu,111.76,2,1
Matches/MatchScorecard_ODI.asp?MatchCode=3994,34,c†MoorbChatara,93.94,3,0
Matches/MatchScorecard_ODI.asp?MatchCode=3993,6,cMasakadzabCremer,30.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3991,59,cMusakandabSikandarRaza,87.72,1,2
Matches/MatchScorecard_T20.asp?MatchCode=0625,6,c&amp;bWilliams,62.50,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0600,29,notout,138.89,2,1
Matches/MatchScorecard_T20.asp?MatchCode=0595,35,bAhmedRaza,125.00,3,1
Matches/MatchScorecard_T20.asp?MatchCode=0544,0,cSikandarRazabPanyangara,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0541,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0490,22,bJongwe,150.00,2,1
Matches/MatchScorecard_T20.asp?MatchCode=0536,67,notout,110.00,2,1
Matches/MatchScorecard_T20.asp?MatchCode=0488,10,cSikandarRazabCremer,100.00,0,1
Matches/MatchScorecard_ODI.asp?MatchCode=3873,8,c†MutumbamibSikandarRaza,28.57,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0565,18,cBravobBadree,72.73,0,1
Matches/MatchScorecard_T20.asp?MatchCode=0559,1,cRootbJordan,25.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0555,9,c†deKockbMorris,116.67,0,1
Matches/MatchScorecard_T20.asp?MatchCode=0520,59,cBabarHayatbTanveerAhmed,140.00,4,3
Matches/MatchScorecard_T20.asp?MatchCode=0517,41,cBilalKhanbMehranKhan,200.00,5,1
Matches/MatchScorecard_T20.asp?MatchCode=0514,7,bAmjadJaved,66.67,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0485,21,lbwbZeeshanMaqsood,100.00,2,0
Matches/MatchScorecard_T20.asp?MatchCode=0484,9,bLalcheta,80.00,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0483,67,runout,137.84,2,3
Matches/MatchScorecard_T20.asp?MatchCode=0472,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0471,22,runout,200.00,0,2
Matches/MatchScorecard_ODI.asp?MatchCode=3764,5,c†CrossbEvans,133.33,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3725,2,c†CrossbDavey,12.50,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3707,1,runout,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3705,55,bKrishnaChandran,139.39,1,4
