match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_ODI.asp?MatchCode=3539,8,notout,600.00,0,1
Matches/MatchScorecard_ODI.asp?MatchCode=3537,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3457,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3586,0,c&amp;bSteyn,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3545,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3572,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3524,0,bSenanayake,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3470,1,c&amp;bBresnan,16.67,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3468,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3463,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3461,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3544,-,dnb,-,-,-
