match_id,score,how dismissed
Matches/MatchScorecard_ODI.asp?MatchCode=3872,0,c†ChandimalbPradeep
Matches/MatchScorecard_ODI.asp?MatchCode=3870,10,c†ChandimalbPerera
Matches/MatchScorecard_ODI.asp?MatchCode=3868,48,cPradeepbVandersay
Matches/MatchScorecard_ODI.asp?MatchCode=3723,17,st†SangakkarabDilshan
Matches/MatchScorecard_ODI.asp?MatchCode=3826,69,lbwbPhilander
Matches/MatchScorecard_T20.asp?MatchCode=0464,3,cAmlabLeie
Matches/MatchScorecard_T20.asp?MatchCode=0463,13,cMorkelbRabada
Matches/MatchScorecard_ODI.asp?MatchCode=3824,123,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3823,17,bChibhabha
Matches/MatchScorecard_ODI.asp?MatchCode=3743,7,bEranga
Matches/MatchScorecard_ODI.asp?MatchCode=3370,8,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3424,2,csubbSamuels
Matches/MatchScorecard_ODI.asp?MatchCode=3368,55,bSWMasakadza
Matches/MatchScorecard_ODI.asp?MatchCode=3446,2,bMalinga
Matches/MatchScorecard_ODI.asp?MatchCode=3366,27,c†TaibubChigumbura
Matches/MatchScorecard_ODI.asp?MatchCode=4138,23,cCurranbAli
Matches/MatchScorecard_T20.asp?MatchCode=0322,-,dnb
Matches/MatchScorecard_T20.asp?MatchCode=0321,24,cBoparabDernbach
Matches/MatchScorecard_ODI.asp?MatchCode=4252,68,cSoumyaSarkarbMustafizurRahman
Matches/MatchScorecard_ODI.asp?MatchCode=3687,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3865,20,bDilshan
Matches/MatchScorecard_ODI.asp?MatchCode=3726,5,c†SangakkarabHerath
Matches/MatchScorecard_ODI.asp?MatchCode=3578,103,cSenanayakebKulasekara
Matches/MatchScorecard_ODI.asp?MatchCode=3576,4,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3573,45,c†MushfiqurRahimbRubelHossain
Matches/MatchScorecard_ODI.asp?MatchCode=4027,99,bNasirHossain
Matches/MatchScorecard_ODI.asp?MatchCode=3570,0,runout
Matches/MatchScorecard_T20.asp?MatchCode=0337,-,dnb
Matches/MatchScorecard_ODI.asp?MatchCode=3866,19,notout
Matches/MatchScorecard_ODI.asp?MatchCode=3729,46,bMathews
Matches/MatchScorecard_T20.asp?MatchCode=0346,21,cDilshanbRambukwella
Matches/MatchScorecard_ODI.asp?MatchCode=3579,11,lbwbSenanayake
Matches/MatchScorecard_T20.asp?MatchCode=0293,5,bKulasekara
