match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_ODI.asp?MatchCode=3887,26,lbwbStokes,66.67,4,0
Matches/MatchScorecard_T20.asp?MatchCode=0567,11,runout,150.00,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=3892,36,bBrathwaite,88.24,6,0
Matches/MatchScorecard_ODI.asp?MatchCode=3885,166,notout,143.75,12,6
Matches/MatchScorecard_ODI.asp?MatchCode=3891,5,c†ButtlerbTopley,23.53,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3841,34,cRainabAshwin,87.88,5,0
Matches/MatchScorecard_ODI.asp?MatchCode=3783,28,c†SaqlainHaiderbAmjadJaved,57.78,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=3851,132,cKohlibRaina,125.29,17,1
Matches/MatchScorecard_ODI.asp?MatchCode=3848,51,cRahanebHarbhajanSingh,122.86,6,1
Matches/MatchScorecard_ODI.asp?MatchCode=3845,120,runout,87.29,11,1
Matches/MatchScorecard_ODI.asp?MatchCode=3844,39,cMMSharmabHarbhajanSingh,94.44,5,0
Matches/MatchScorecard_ODI.asp?MatchCode=3766,15,cRussellbHolder,63.16,3,0
Matches/MatchScorecard_ODI.asp?MatchCode=3750,8,cErvinebChatara,43.75,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3742,5,cCarterbHolder,57.14,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0397,31,st†ButtlerbTredwell,87.88,2,0
Matches/MatchScorecard_T20.asp?MatchCode=0385,31,bMalinga,138.89,4,1
Matches/MatchScorecard_ODI.asp?MatchCode=3543,32,bSenanayake,128.57,5,0
Matches/MatchScorecard_ODI.asp?MatchCode=3542,10,bMalinga,88.89,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=3540,23,c†SangakkarabNLTCPerera,71.43,3,0
Matches/MatchScorecard_ODI.asp?MatchCode=3491,3,bJunaidKhan,25.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3469,35,bFranklin,81.58,4,0
Matches/MatchScorecard_ODI.asp?MatchCode=3466,30,bMills,89.29,1,2
Matches/MatchScorecard_T20.asp?MatchCode=0300,2,cAndersonbMcClenaghan,50.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0298,0,notout,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0296,33,notout,121.74,5,0
Matches/MatchScorecard_ODI.asp?MatchCode=4030,38,bBall,87.18,4,0
Matches/MatchScorecard_ODI.asp?MatchCode=4028,5,c†ButtlerbWoakes,38.46,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0553,73,cHalesbAli,216.67,7,3
Matches/MatchScorecard_ODI.asp?MatchCode=4042,61,bJadeja,73.61,4,0
Matches/MatchScorecard_T20.asp?MatchCode=0405,7,c†DhonibKumar,150.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4310,11,cKohlibBumrah,58.82,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4127,22,cPandyabChahal,55.56,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=4126,38,lbwbChahal,69.39,4,0
Matches/MatchScorecard_ODI.asp?MatchCode=3687,95,notout,85.11,11,0
Matches/MatchScorecard_ODI.asp?MatchCode=3686,29,bMcClenaghan,78.79,3,0
Matches/MatchScorecard_T20.asp?MatchCode=0389,4,c†RonchibMills,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3464,19,cNLMcCullumbFranklin,52.94,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4080,197,notout,115.86,21,2
Matches/MatchScorecard_T20.asp?MatchCode=1082,38,cDenlybAli,206.67,3,2
Matches/MatchScorecard_ODI.asp?MatchCode=4408,82,bRashid,85.19,5,2
Matches/MatchScorecard_ODI.asp?MatchCode=4405,11,bRoot,64.71,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4401,124,bRoot,94.69,11,1
Matches/MatchScorecard_T20.asp?MatchCode=1084,91,cStokesbWood,295.45,2,8
Matches/MatchScorecard_T20.asp?MatchCode=0539,31,cHastingsbCoulter-Nile,192.31,4,1
Matches/MatchScorecard_T20.asp?MatchCode=0773,15,cDickwellabDananjaya,76.47,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=3794,16,cSoutheebBoult,82.35,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=3685,11,cLathambBoult,180.00,2,0
Matches/MatchScorecard_T20.asp?MatchCode=1087,44,cBairstowbStokes,145.83,1,4
Matches/MatchScorecard_T20.asp?MatchCode=0926,103,notout,151.92,6,5
Matches/MatchScorecard_T20.asp?MatchCode=0921,68,cKohlibSaini,140.54,8,0
Matches/MatchScorecard_ODI.asp?MatchCode=3584,52,cMisbah-ul-HaqbShahidAfridi,90.38,3,1
Matches/MatchScorecard_ODI.asp?MatchCode=3582,22,bBilawalBhatti,79.17,3,0
Matches/MatchScorecard_T20.asp?MatchCode=0348,30,cNasirJamshedbShahidAfridi,108.33,4,0
Matches/MatchScorecard_T20.asp?MatchCode=0345,51,cSohailTanvirbMohammadHafeez,130.30,8,0
Matches/MatchScorecard_ODI.asp?MatchCode=3577,39,lbwbSaeedAjmal,82.93,5,0
Matches/MatchScorecard_ODI.asp?MatchCode=3575,127,cMisbah-ul-HaqbJunaidKhan,82.96,9,1
Matches/MatchScorecard_ODI.asp?MatchCode=4317,18,notout,80.95,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4269,145,c†DickwellabRajitha,112.04,16,2
Matches/MatchScorecard_ODI.asp?MatchCode=4339,18,bMalinga,93.75,3,0
Matches/MatchScorecard_ODI.asp?MatchCode=4328,6,bBoult,62.50,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4264,117,c†DickwellabNLTCPerera,134.29,17,1
Matches/MatchScorecard_ODI.asp?MatchCode=4303,82,cRootbPlunkett,91.89,6,2
Matches/MatchScorecard_ODI.asp?MatchCode=4272,7,cFernandobMalinga,42.86,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=4271,61,cTharangabdeSilva,89.47,6,0
Matches/MatchScorecard_T20.asp?MatchCode=0716,31,bMavuta,113.04,3,1
Matches/MatchScorecard_ODI.asp?MatchCode=4188,67,bDananjaya,94.74,7,1
Matches/MatchScorecard_T20.asp?MatchCode=0715,6,cChibhabhabMpofu,100.00,1,0
Matches/MatchScorecard_T20.asp?MatchCode=0711,24,runout,181.82,4,0
Matches/MatchScorecard_ODI.asp?MatchCode=4187,28,bLakmal,176.92,3,1
Matches/MatchScorecard_ODI.asp?MatchCode=4182,53,cLakmalbDananjaya,79.66,4,1
Matches/MatchScorecard_ODI.asp?MatchCode=4186,2,cPererabKumara,25.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4183,106,cLakmalbRajitha,111.54,13,1
Matches/MatchScorecard_ODI.asp?MatchCode=4002,7,cWilliamsonbPatel,60.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3997,82,cNeeshambdeGrandhomme,97.14,6,2
Matches/MatchScorecard_ODI.asp?MatchCode=3995,67,cNeeshambBoult,87.69,6,0
Matches/MatchScorecard_ODI.asp?MatchCode=3983,38,cWeerakkodybSandakan,85.00,4,0
Matches/MatchScorecard_ODI.asp?MatchCode=3985,19,cLakmalbdeSilva,77.27,2,0
Matches/MatchScorecard_ODI.asp?MatchCode=4261,96,lbwbDananjaya,112.50,11,0
Matches/MatchScorecard_ODI.asp?MatchCode=3776,0,c†SarfarazAhmedbMohammadIrfan,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3790,94,notout,136.84,12,0
Matches/MatchScorecard_ODI.asp?MatchCode=3648,150,cMendisbSenanayake,100.79,12,3
Matches/MatchScorecard_ODI.asp?MatchCode=3647,5,bMalinga,66.67,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3665,89,cChatarabUtseya,100.00,7,1
Matches/MatchScorecard_ODI.asp?MatchCode=3646,32,bMathews,77.14,3,1
Matches/MatchScorecard_ODI.asp?MatchCode=3671,2,c†TaylorbChatara,50.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0392,0,cMyburghbSwart,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0339,36,csubbSaeedAjmal,157.89,6,0
Matches/MatchScorecard_T20.asp?MatchCode=0338,55,notout,126.32,3,2
Matches/MatchScorecard_ODI.asp?MatchCode=3574,45,st†UmarAkmalbShahidAfridi,70.18,5,0
Matches/MatchScorecard_T20.asp?MatchCode=0562,52,bRussell,102.17,3,1
Matches/MatchScorecard_ODI.asp?MatchCode=3656,99,cWilliamsbPanyangara,112.00,7,2
Matches/MatchScorecard_ODI.asp?MatchCode=3654,43,cChigumburabNyumbu,100.00,5,0
Matches/MatchScorecard_ODI.asp?MatchCode=3653,77,cTaylorbNyumbu,92.65,8,1
Matches/MatchScorecard_ODI.asp?MatchCode=3999,0,c†RonchibPatel,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3585,18,cSaeedAjmalbBilawalBhatti,83.33,3,0
Matches/MatchScorecard_ODI.asp?MatchCode=4033,25,c†DickwellabPradeep,54.76,2,0
Matches/MatchScorecard_T20.asp?MatchCode=0329,19,lbwbMendis,84.21,3,0
Matches/MatchScorecard_T20.asp?MatchCode=0328,22,st†SangakkarabSenanayake,82.61,3,0
Matches/MatchScorecard_T20.asp?MatchCode=0327,6,lbwbSenanayake,71.43,1,0
