,MATCH_ID,SCORE
6,Matches/MatchScorecard_ODI.asp?MatchCode=3430,8
8,Matches/MatchScorecard_ODI.asp?MatchCode=3570,28
49,Matches/MatchScorecard_ODI.asp?MatchCode=3984,48
50,Matches/MatchScorecard_ODI.asp?MatchCode=3988,8
52,Matches/MatchScorecard_ODI.asp?MatchCode=3995,28
58,Matches/MatchScorecard_ODI.asp?MatchCode=4085,8
59,Matches/MatchScorecard_ODI.asp?MatchCode=4088,8
61,Matches/MatchScorecard_ODI.asp?MatchCode=4100,24
62,Matches/MatchScorecard_ODI.asp?MatchCode=4101,16
64,Matches/MatchScorecard_ODI.asp?MatchCode=4103,16
65,Matches/MatchScorecard_ODI.asp?MatchCode=4104,20
67,Matches/MatchScorecard_ODI.asp?MatchCode=4110,16
71,Matches/MatchScorecard_ODI.asp?MatchCode=4139,8
72,Matches/MatchScorecard_ODI.asp?MatchCode=4146,8
74,Matches/MatchScorecard_ODI.asp?MatchCode=4223,8
75,Matches/MatchScorecard_ODI.asp?MatchCode=4225,8
77,Matches/MatchScorecard_ODI.asp?MatchCode=4239,8
78,Matches/MatchScorecard_ODI.asp?MatchCode=4242,8
79,Matches/MatchScorecard_ODI.asp?MatchCode=4245,12
80,Matches/MatchScorecard_ODI.asp?MatchCode=4248,16
82,Matches/MatchScorecard_ODI.asp?MatchCode=4250,20
83,Matches/MatchScorecard_ODI.asp?MatchCode=4251,8
84,Matches/MatchScorecard_ODI.asp?MatchCode=4252,8
85,Matches/MatchScorecard_ODI.asp?MatchCode=4305,8
86,Matches/MatchScorecard_ODI.asp?MatchCode=4311,16
87,Matches/MatchScorecard_ODI.asp?MatchCode=4315,40
89,Matches/MatchScorecard_ODI.asp?MatchCode=4333,32
91,Matches/MatchScorecard_ODI.asp?MatchCode=4341,16
92,Matches/MatchScorecard_ODI.asp?MatchCode=4346,8
93,Matches/MatchScorecard_ODI.asp?MatchCode=4353,24
94,Matches/MatchScorecard_ODI.asp?MatchCode=4355,24
95,Matches/MatchScorecard_ODI.asp?MatchCode=4402,8
96,Matches/MatchScorecard_ODI.asp?MatchCode=4406,8
98,Matches/MatchScorecard_ODI.asp?MatchCode=4423,8
