match_id,score,how dismissed,strike rate,4s,6s,batting position,player_name
Matches/MatchScorecard_T20.asp?MatchCode=0631,12,notout,157.14,1,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0510,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0509,36,notout,129.17,5,0,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0576,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0575,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0534,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0569,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0566,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0560,6,notout,250.00,1,0,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0554,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0548,10,st†RonchibSodhi,50.00,0,0,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0525,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0522,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0511,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0501,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0499,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0498,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0528,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0469,12,bMorris,73.33,1,0,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0468,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0411,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0406,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0405,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0399,2,notout,66.67,0,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0395,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0388,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0384,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0335,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_T20.asp?MatchCode=0301,-,dnb,-,-,-,Tail,Ravichandran Ashwin  (India)
