,MATCH_ID,SCORE
1,Matches/MatchScorecard_ODI.asp?MatchCode=2089,24
2,Matches/MatchScorecard_ODI.asp?MatchCode=2090,20
3,Matches/MatchScorecard_ODI.asp?MatchCode=2092,8
4,Matches/MatchScorecard_ODI.asp?MatchCode=2094,8
7,Matches/MatchScorecard_ODI.asp?MatchCode=2141,24
9,Matches/MatchScorecard_ODI.asp?MatchCode=2175,8
10,Matches/MatchScorecard_ODI.asp?MatchCode=2176,16
11,Matches/MatchScorecard_ODI.asp?MatchCode=2177,8
12,Matches/MatchScorecard_ODI.asp?MatchCode=2243,8
13,Matches/MatchScorecard_ODI.asp?MatchCode=2248,8
15,Matches/MatchScorecard_ODI.asp?MatchCode=3212,16
18,Matches/MatchScorecard_ODI.asp?MatchCode=3294,20
19,Matches/MatchScorecard_ODI.asp?MatchCode=3295,40
20,Matches/MatchScorecard_ODI.asp?MatchCode=3296,36
22,Matches/MatchScorecard_ODI.asp?MatchCode=3298,12
32,Matches/MatchScorecard_ODI.asp?MatchCode=3353,8
33,Matches/MatchScorecard_ODI.asp?MatchCode=3355,24
34,Matches/MatchScorecard_ODI.asp?MatchCode=3357,24
35,Matches/MatchScorecard_ODI.asp?MatchCode=3359,20
36,Matches/MatchScorecard_ODI.asp?MatchCode=3360,8
37,Matches/MatchScorecard_ODI.asp?MatchCode=3382,8
