name,batting_avg,batting_strike_rate,MRA,outrate,BRPI,innings_batted,bowling_avg,bowling_sr,bowling_er,bowling_outrate,maidens,innings_bowled,role
Rohit Sharma,43.33179723502304,0.8950975725844835,0.3317972350230415,0.016373155640171347,21.75115207373272,217,111.75,123.75,5.418181818181818,0.00808080808080808,2.0,38,bat
Jasprit Bumrah,1.2666666666666666,0.9047619047619048,0.0,0.047619047619047616,0.9333333333333333,15,49.2,53.4,5.52808988764045,0.018726591760299626,2.0,64,ball
Kedar Jadhav,27.326923076923077,1.0186379928315412,0.15384615384615385,0.022222222222222223,13.615384615384615,52,51.5,55.5,5.5675675675675675,0.018018018018018018,0.0,42,all
Yuzvendra Chahal,5.444444444444445,0.6712328767123288,0.0,0.0684931506849315,3.111111111111111,9,35.375,39.3,5.400763358778626,0.025445292620865142,2.0,51,ball
KL Rahul,41.38709677419355,0.8799725651577504,0.3548387096774194,0.01646090534979424,17.483870967741936,31,-1.0,-1.0,-1.0,-1.0,-1.0,0,bat
Virat Kohli,51.34309623430963,0.9368605894029622,0.41841004184100417,0.01427698885326004,21.715481171548117,239,144.25,139.8,6.190987124463519,0.007153075822603719,1.0,48,bat
Kuldeep Yadav,5.619047619047619,0.6378378378378379,0.0,0.043243243243243246,1.9047619047619047,21,26.807692307692307,30.23076923076923,5.320610687022901,0.03307888040712468,1.0,58,ball
Hardik Pandya,25.605263157894736,1.1666666666666667,0.10526315789473684,0.03477218225419664,13.578947368421053,38,45.3235294117647,47.52352941176471,5.722242851838098,0.021042208194083423,4.0,53,all
M S Dhoni,37.39057239057239,0.8794646392650669,0.2760942760942761,0.01607666112299042,15.75084175084175,297,-1.0,-1.0,-1.0,-1.0,0.0,2,wk
Rishabh Pant,27.0,1.0384615384615385,0.07142857142857142,0.03571428571428571,15.714285714285714,14,-1.0,-1.0,-1.0,-1.0,-1.0,0,wk
Mohammed Shami,4.083333333333333,0.9130434782608695,0.0,0.08695652173913043,2.2222222222222223,36,29.346938775510203,30.64897959183674,5.745105872952457,0.03262751365028632,11.0,76,ball
Eoin Morgan,34.721461187214615,0.919356788780075,0.2694063926940639,0.020916455084028535,16.977168949771688,219,-1.0,-1.0,-1.0,-1.0,-1.0,0,bat
Mark Wood,3.2941176470588234,0.9655172413793104,0.0,0.06896551724137931,1.411764705882353,17,51.5,52.5,5.885714285714286,0.01904761904761905,2.0,50,ball
Jofra Archer,1.8571428571428572,0.6190476190476191,0.0,0.14285714285714285,0.5714285714285714,7,28.875,32.25,5.372093023255814,0.031007751937984496,4.0,14,ball
Joe Root,44.65693430656934,0.8776359202409985,0.35766423357664234,0.016066561468942763,15.83941605839416,137,58.17391304347826,59.84347826086957,5.832606800348736,0.016710258645742517,2.0,67,bat
Jos Butler,33.837606837606835,1.2121861604409063,0.24786324786324787,0.02510716472749541,17.333333333333332,117,-1.0,-1.0,-1.0,-1.0,-1.0,0,wk
Jason Roy,42.674698795180724,1.0811965811965811,0.3132530120481928,0.022588522588522588,24.02409638554217,83,-1.0,-1.0,-1.0,-1.0,-1.0,0,bat
Jonny Bairstow,42.9,1.052945301542777,0.2857142857142857,0.019985974754558204,24.714285714285715,70,-1.0,-1.0,-1.0,-1.0,-1.0,0,bat
Liam Plunkett,13.0,1.0466988727858293,0.02,0.04508856682769726,6.4,50,28.79746835443038,29.17974683544304,5.921395106715252,0.03427034530626409,11.0,87,ball
Chris Woakes,18.0,0.9139072847682119,0.057971014492753624,0.03164091243561442,6.63768115942029,69,31.511904761904763,35.042857142857144,5.3954341622503055,0.028536485935589072,30.0,97,all
Adil Rashid,13.5,1.0259067357512954,0.022727272727272728,0.04835924006908463,6.7727272727272725,44,36.18,38.388,5.6548921537980625,0.02604980723142649,2.0,94,ball
Ben Stokes,34.24691358024691,0.9474043715846995,0.2839506172839506,0.020833333333333332,16.271604938271604,81,40.131147540983605,39.71803278688524,6.062407132243686,0.025177480600957574,6.0,80,all
