name,matchid,date
5536,Matches/MatchScorecard_T20.asp?MatchCode=0980,2019-10-20
5559,Matches/MatchScorecard_T20.asp?MatchCode=0980,2019-10-20
5538,Matches/MatchScorecard_T20.asp?MatchCode=0980,2019-10-20
5539,Matches/MatchScorecard_T20.asp?MatchCode=0980,2019-10-20
5537,Matches/MatchScorecard_T20.asp?MatchCode=0980,2019-10-20
5542,Matches/MatchScorecard_T20.asp?MatchCode=0980,2019-10-20
5540,Matches/MatchScorecard_T20.asp?MatchCode=0980,2019-10-20
5543,Matches/MatchScorecard_T20.asp?MatchCode=0980,2019-10-20
5541,Matches/MatchScorecard_T20.asp?MatchCode=0980,2019-10-20
5557,Matches/MatchScorecard_T20.asp?MatchCode=0980,2019-10-20
5545,Matches/MatchScorecard_T20.asp?MatchCode=0980,2019-10-20
5454,Matches/MatchScorecard_T20.asp?MatchCode=0980,2019-10-20
5549,Matches/MatchScorecard_T20.asp?MatchCode=0980,2019-10-20
5463,Matches/MatchScorecard_T20.asp?MatchCode=0980,2019-10-20
5515,Matches/MatchScorecard_T20.asp?MatchCode=0979,2019-10-20
5519,Matches/MatchScorecard_T20.asp?MatchCode=0979,2019-10-20
5517,Matches/MatchScorecard_T20.asp?MatchCode=0979,2019-10-20
5518,Matches/MatchScorecard_T20.asp?MatchCode=0979,2019-10-20
5520,Matches/MatchScorecard_T20.asp?MatchCode=0979,2019-10-20
5548,Matches/MatchScorecard_T20.asp?MatchCode=0979,2019-10-20
5521,Matches/MatchScorecard_T20.asp?MatchCode=0979,2019-10-20
5524,Matches/MatchScorecard_T20.asp?MatchCode=0979,2019-10-20
5523,Matches/MatchScorecard_T20.asp?MatchCode=0979,2019-10-20
5522,Matches/MatchScorecard_T20.asp?MatchCode=0979,2019-10-20
5525,Matches/MatchScorecard_T20.asp?MatchCode=0979,2019-10-20
5542,Matches/MatchScorecard_T20.asp?MatchCode=0979,2019-10-20
5545,Matches/MatchScorecard_T20.asp?MatchCode=0979,2019-10-20
5543,Matches/MatchScorecard_T20.asp?MatchCode=0979,2019-10-20
5540,Matches/MatchScorecard_T20.asp?MatchCode=0979,2019-10-20
5533,Matches/MatchScorecard_T20.asp?MatchCode=0978,2019-10-20
5454,Matches/MatchScorecard_T20.asp?MatchCode=0978,2019-10-20
5534,Matches/MatchScorecard_T20.asp?MatchCode=0978,2019-10-20
5455,Matches/MatchScorecard_T20.asp?MatchCode=0978,2019-10-20
5458,Matches/MatchScorecard_T20.asp?MatchCode=0978,2019-10-20
5459,Matches/MatchScorecard_T20.asp?MatchCode=0978,2019-10-20
5457,Matches/MatchScorecard_T20.asp?MatchCode=0978,2019-10-20
5463,Matches/MatchScorecard_T20.asp?MatchCode=0978,2019-10-20
5461,Matches/MatchScorecard_T20.asp?MatchCode=0978,2019-10-20
5460,Matches/MatchScorecard_T20.asp?MatchCode=0978,2019-10-20
5468,Matches/MatchScorecard_T20.asp?MatchCode=0978,2019-10-20
5530,Matches/MatchScorecard_T20.asp?MatchCode=0978,2019-10-20
5015,Matches/MatchScorecard_T20.asp?MatchCode=0978,2019-10-20
5007,Matches/MatchScorecard_T20.asp?MatchCode=0978,2019-10-20
3586,Matches/MatchScorecard_T20.asp?MatchCode=0971,2019-10-19
3391,Matches/MatchScorecard_T20.asp?MatchCode=0971,2019-10-19
3809,Matches/MatchScorecard_T20.asp?MatchCode=0971,2019-10-19
5476,Matches/MatchScorecard_T20.asp?MatchCode=0971,2019-10-19
3473,Matches/MatchScorecard_T20.asp?MatchCode=0971,2019-10-19
5089,Matches/MatchScorecard_T20.asp?MatchCode=0971,2019-10-19
5298,Matches/MatchScorecard_T20.asp?MatchCode=0971,2019-10-19
4855,Matches/MatchScorecard_T20.asp?MatchCode=0971,2019-10-19
3752,Matches/MatchScorecard_T20.asp?MatchCode=0971,2019-10-19
5477,Matches/MatchScorecard_T20.asp?MatchCode=0971,2019-10-19
3459,Matches/MatchScorecard_T20.asp?MatchCode=0971,2019-10-19
4680,Matches/MatchScorecard_T20.asp?MatchCode=0971,2019-10-19
4258,Matches/MatchScorecard_T20.asp?MatchCode=0971,2019-10-19
5532,Matches/MatchScorecard_T20.asp?MatchCode=0971,2019-10-19
