match_id,score,how dismissed,strike rate,4s,6s,batting position,player_name
Matches/MatchScorecard_ODI.asp?MatchCode=3335,9,runout,133.33,1,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3331,0,notout,0.00,0,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3325,41,notout,189.47,5,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3323,1,runout,100.00,0,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3278,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3276,11,notout,142.86,1,0,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3322,0,bBresnan,0.00,0,0,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3193,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3696,0,lbwbMendis,0.00,0,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3692,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3689,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3628,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3621,20,bMalinga,112.50,2,0,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3619,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3688,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3624,11,st†UmarAkmalbSaeedAjmal,128.57,2,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3529,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3525,28,notout,138.89,3,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3524,4,cMalingabSenanayake,30.77,0,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3382,5,c†SangakkarabMalinga,83.33,0,0,Tail,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3353,6,runout,60.00,0,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3359,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3357,32,lbwbNarine,48.44,1,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3355,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3118,44,c&amp;bThushara,118.75,4,1,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3208,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3204,0,c&amp;bMcKay,0.00,0,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3212,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3210,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3206,-,dnb,-,-,-,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3298,9,notout,114.29,1,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3297,15,cSamuelsbRussell,55.56,0,0,Middle Order,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=4295,-,dnb,-,-,-,Tail,Abu Jayed  (Bangladesh)
Matches/MatchScorecard_ODI.asp?MatchCode=4293,-,dnb,-,-,-,Middle Order,Abu Jayed  (Bangladesh)
Matches/MatchScorecard_ODI.asp?MatchCode=3775,9,cYadavbMMSharma,40.91,0,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3583,15,c†DhonibJadeja,92.86,2,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3581,73,lbwbJadeja,83.78,5,1,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3580,32,lbwbRaina,72.50,1,1,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=2600,5,runout,66.67,1,0,Middle Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3353,23,bYadav,63.33,2,1,Top Order,Lendl Simmons  (West Indies)
Matches/MatchScorecard_ODI.asp?MatchCode=3360,0,lbwbPathan,0.00,0,0,Top Order,Lendl Simmons  (West Indies)
