Match_id,Score,Overs,Maidens,Wicket,Economy,player_name
Matches/MatchScorecard_ODI.asp?MatchCode=3206,25,10.0,0,1,5.2,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3276,52,10.0,0,2,4.1,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3298,4,10.0,1,0,5.0,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3323,46,5.0,0,2,8.4,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3325,77,9.0,0,3,4.44,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3327,27,10.0,0,1,4.4,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3343,77,10.0,0,3,3.8,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3346,79,9.0,0,3,3.11,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3355,23,10.0,0,1,7.4,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3382,50,10.0,0,2,5.0,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3387,0,10.0,0,0,5.2,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3459,0,9.0,0,0,6.78,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3463,52,10.0,0,2,3.7,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3468,50,10.0,0,2,6.3,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3505,0,10.0,0,0,4.7,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3519,54,4.0,1,2,3.75,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3524,25,10.0,0,1,6.7,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3530,52,10.0,0,2,4.2,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3565,50,9.0,0,2,6.33,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3568,50,10.0,0,2,6.4,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3586,0,10.0,0,0,5.8,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3587,25,9.0,0,1,5.33,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3588,-2,9.0,0,0,7.0,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3664,52,9.1,0,2,4.15,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3667,77,10.0,0,3,3.9,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3670,25,10.0,0,1,4.8,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3672,33,10.0,2,1,4.9,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3688,25,9.0,0,1,5.78,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3692,27,10.0,0,1,4.3,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3731,25,9.0,0,1,6.0,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3760,77,10.0,0,3,4.1,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3841,25,4.4,0,1,3.0,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3518,79,10.0,1,3,4.8,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3386,2,10.0,0,0,4.5,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3562,50,10.0,0,2,5.5,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3572,50,10.0,0,2,5.1,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=4052,25,9.0,0,1,5.22,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=4042,25,9.0,0,1,4.78,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3689,54,10.0,1,2,4.9,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3696,54,10.0,1,2,5.6,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3297,31,10.0,1,1,3.9,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3461,75,7.0,0,3,5.57,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3470,0,10.0,0,0,5.0,Ravichandran Ashwin  (India)
Matches/MatchScorecard_ODI.asp?MatchCode=3529,27,5.0,0,1,4.0,Ravichandran Ashwin  (India)
