name,batting_avg,batting_strike_rate,MRA,outrate,BRPI,innings_batted,bowling_avg,bowling_sr,bowling_er,bowling_outrate,maidens,innings_bowled,role
Rohit Sharma,49.924418604651166,0.8874534931789996,0.3087557603686636,0.017775940471269118,21.75115207373272,217,111.75,123.75,5.418181818181818,0.00808080808080808,2.0,38,bat
Jasprit Bumrah,19.0,0.9047619047619048,0.0,0.047619047619047616,0.9333333333333333,15,49.2,53.4,5.52808988764045,0.018726591760299626,2.0,64,ball
Kedar Jadhav,43.25806451612903,1.0151400454201362,0.1346153846153846,0.023467070401211203,13.615384615384615,52,51.5,55.5,5.5675675675675675,0.018018018018018018,0.0,42,all
Yuzvendra Chahal,9.8,0.6712328767123288,0.0,0.0684931506849315,3.111111111111111,9,35.375,39.3,5.400763358778626,0.025445292620865142,2.0,51,ball
KL Rahul,48.458333333333336,0.8731231231231231,0.3225806451612903,0.018018018018018018,17.483870967741936,31,-1.0,-1.0,-1.0,-1.0,-1.0,0,bat
Virat Kohli,59.37433155080214,0.9295880776959142,0.39330543933054396,0.015656396517079705,21.715481171548117,239,144.25,139.8,6.190987124463519,0.007153075822603719,1.0,48,bat
Kuldeep Yadav,14.75,0.6378378378378379,0.0,0.043243243243243246,1.9047619047619047,21,26.807692307692307,30.23076923076923,5.320610687022901,0.03307888040712468,1.0,58,ball
Hardik Pandya,32.44827586206897,1.1617283950617283,0.10526315789473684,0.03580246913580247,13.578947368421053,38,45.3235294117647,47.52352941176471,5.722242851838098,0.021042208194083423,4.0,53,all
M S Dhoni,51.0,0.8734497595545432,0.22895622895622897,0.017126465873618494,15.75084175084175,297,-1.0,-1.0,-1.0,-1.0,0.0,2,wk
Rishabh Pant,28.46153846153846,1.0393258426966292,0.07142857142857142,0.03651685393258427,15.714285714285714,14,-1.0,-1.0,-1.0,-1.0,-1.0,0,wk
Mohammed Shami,10.5,0.9130434782608695,0.0,0.08695652173913043,2.2222222222222223,36,29.346938775510203,30.64897959183674,5.745105872952457,0.03262751365028632,11.0,76,ball
Eoin Morgan,40.578034682080926,0.9108602569093033,0.2237442922374429,0.02244712598936032,16.977168949771688,219,-1.0,-1.0,-1.0,-1.0,-1.0,0,bat
Mark Wood,14.0,0.9655172413793104,0.0,0.06896551724137931,1.411764705882353,17,51.5,52.5,5.885714285714286,0.01904761904761905,2.0,50,ball
Jofra Archer,4.333333333333333,0.6190476190476191,0.0,0.14285714285714285,0.5714285714285714,7,28.875,32.25,5.372093023255814,0.031007751937984496,4.0,14,ball
Joe Root,49.982142857142854,0.8723702664796634,0.31386861313868614,0.017453638772011844,15.83941605839416,137,58.17391304347826,59.84347826086957,5.832606800348736,0.016710258645742517,2.0,67,bat
Jos Butler,44.47560975609756,1.199671052631579,0.23076923076923078,0.026973684210526316,17.333333333333332,117,-1.0,-1.0,-1.0,-1.0,-1.0,0,wk
Jason Roy,43.86486486486486,1.0734126984126984,0.27710843373493976,0.02447089947089947,24.02409638554217,83,-1.0,-1.0,-1.0,-1.0,-1.0,0,bat
Jonny Bairstow,48.6140350877193,1.0436911487758946,0.24285714285714285,0.021468926553672316,24.714285714285715,70,-1.0,-1.0,-1.0,-1.0,-1.0,0,bat
Liam Plunkett,22.928571428571427,1.0541871921182266,0.02,0.04597701149425287,6.4,50,28.79746835443038,29.17974683544304,5.921395106715252,0.03427034530626409,11.0,87,ball
Chris Woakes,28.13953488372093,0.9118311981914092,0.043478260869565216,0.03240391861341371,6.63768115942029,69,31.511904761904763,35.042857142857144,5.3954341622503055,0.028536485935589072,30.0,97,all
Adil Rashid,20.928571428571427,1.0226876090750436,0.022727272727272728,0.04886561954624782,6.7727272727272725,44,36.18,38.388,5.6548921537980625,0.02604980723142649,2.0,94,ball
Ben Stokes,42.0655737704918,0.9430356486585814,0.25925925925925924,0.022418228592429253,16.271604938271604,81,40.131147540983605,39.71803278688524,6.062407132243686,0.025177480600957574,6.0,80,all
