,MATCH_ID,SCORE
0,Matches/MatchScorecard_ODI.asp?MatchCode=3674,32
1,Matches/MatchScorecard_ODI.asp?MatchCode=3675,24
2,Matches/MatchScorecard_ODI.asp?MatchCode=3676,8
5,Matches/MatchScorecard_ODI.asp?MatchCode=3915,8
6,Matches/MatchScorecard_ODI.asp?MatchCode=3916,24
7,Matches/MatchScorecard_ODI.asp?MatchCode=3917,16
16,Matches/MatchScorecard_ODI.asp?MatchCode=4257,8
17,Matches/MatchScorecard_ODI.asp?MatchCode=4259,12
18,Matches/MatchScorecard_ODI.asp?MatchCode=4262,8
19,Matches/MatchScorecard_ODI.asp?MatchCode=4265,8
20,Matches/MatchScorecard_ODI.asp?MatchCode=4267,16
