,MATCH_ID,SCORE
1,Matches/MatchScorecard_ODI.asp?MatchCode=3466,8
2,Matches/MatchScorecard_ODI.asp?MatchCode=3469,24
4,Matches/MatchScorecard_ODI.asp?MatchCode=3540,8
6,Matches/MatchScorecard_ODI.asp?MatchCode=3543,8
7,Matches/MatchScorecard_ODI.asp?MatchCode=3574,16
9,Matches/MatchScorecard_ODI.asp?MatchCode=3577,8
10,Matches/MatchScorecard_ODI.asp?MatchCode=3582,24
11,Matches/MatchScorecard_ODI.asp?MatchCode=3584,32
12,Matches/MatchScorecard_ODI.asp?MatchCode=3585,24
13,Matches/MatchScorecard_ODI.asp?MatchCode=3586,16
14,Matches/MatchScorecard_ODI.asp?MatchCode=3587,32
16,Matches/MatchScorecard_ODI.asp?MatchCode=3646,24
17,Matches/MatchScorecard_ODI.asp?MatchCode=3647,24
18,Matches/MatchScorecard_ODI.asp?MatchCode=3648,24
19,Matches/MatchScorecard_ODI.asp?MatchCode=3653,16
20,Matches/MatchScorecard_ODI.asp?MatchCode=3654,8
21,Matches/MatchScorecard_ODI.asp?MatchCode=3656,8
22,Matches/MatchScorecard_ODI.asp?MatchCode=3663,8
23,Matches/MatchScorecard_ODI.asp?MatchCode=3665,24
24,Matches/MatchScorecard_ODI.asp?MatchCode=3669,28
25,Matches/MatchScorecard_ODI.asp?MatchCode=3671,8
27,Matches/MatchScorecard_ODI.asp?MatchCode=3685,52
30,Matches/MatchScorecard_ODI.asp?MatchCode=3694,16
31,Matches/MatchScorecard_ODI.asp?MatchCode=3695,24
33,Matches/MatchScorecard_ODI.asp?MatchCode=3698,16
35,Matches/MatchScorecard_ODI.asp?MatchCode=3742,24
36,Matches/MatchScorecard_ODI.asp?MatchCode=3750,8
37,Matches/MatchScorecard_ODI.asp?MatchCode=3760,8
38,Matches/MatchScorecard_ODI.asp?MatchCode=3766,20
39,Matches/MatchScorecard_ODI.asp?MatchCode=3771,16
41,Matches/MatchScorecard_ODI.asp?MatchCode=3783,8
42,Matches/MatchScorecard_ODI.asp?MatchCode=3790,16
43,Matches/MatchScorecard_ODI.asp?MatchCode=3794,8
44,Matches/MatchScorecard_ODI.asp?MatchCode=3813,8
48,Matches/MatchScorecard_ODI.asp?MatchCode=3844,24
50,Matches/MatchScorecard_ODI.asp?MatchCode=3848,24
51,Matches/MatchScorecard_ODI.asp?MatchCode=3851,8
53,Matches/MatchScorecard_ODI.asp?MatchCode=3887,8
55,Matches/MatchScorecard_ODI.asp?MatchCode=3890,8
