,MATCH_ID,SCORE
8,Matches/MatchScorecard_ODI.asp?MatchCode=3809,28
9,Matches/MatchScorecard_ODI.asp?MatchCode=3832,16
10,Matches/MatchScorecard_ODI.asp?MatchCode=3833,8
11,Matches/MatchScorecard_ODI.asp?MatchCode=3834,16
17,Matches/MatchScorecard_ODI.asp?MatchCode=3930,12
18,Matches/MatchScorecard_ODI.asp?MatchCode=3932,8
74,Matches/MatchScorecard_ODI.asp?MatchCode=4401,8
