,MATCH_ID,SCORE
49,Matches/MatchScorecard_ODI.asp?MatchCode=3352,28
53,Matches/MatchScorecard_ODI.asp?MatchCode=3372,16
54,Matches/MatchScorecard_ODI.asp?MatchCode=3374,12
55,Matches/MatchScorecard_ODI.asp?MatchCode=3376,16
71,Matches/MatchScorecard_ODI.asp?MatchCode=3531,20
72,Matches/MatchScorecard_ODI.asp?MatchCode=3532,28
73,Matches/MatchScorecard_ODI.asp?MatchCode=3533,16
74,Matches/MatchScorecard_ODI.asp?MatchCode=3535,8
75,Matches/MatchScorecard_ODI.asp?MatchCode=3538,16
76,Matches/MatchScorecard_ODI.asp?MatchCode=3569,20
77,Matches/MatchScorecard_ODI.asp?MatchCode=3571,28
78,Matches/MatchScorecard_ODI.asp?MatchCode=3574,24
81,Matches/MatchScorecard_ODI.asp?MatchCode=3582,28
82,Matches/MatchScorecard_ODI.asp?MatchCode=3584,8
83,Matches/MatchScorecard_ODI.asp?MatchCode=3585,28
84,Matches/MatchScorecard_ODI.asp?MatchCode=3589,8
85,Matches/MatchScorecard_ODI.asp?MatchCode=3590,12
86,Matches/MatchScorecard_ODI.asp?MatchCode=3591,24
87,Matches/MatchScorecard_ODI.asp?MatchCode=3592,8
88,Matches/MatchScorecard_ODI.asp?MatchCode=3594,16
89,Matches/MatchScorecard_ODI.asp?MatchCode=3618,8
90,Matches/MatchScorecard_ODI.asp?MatchCode=3620,8
91,Matches/MatchScorecard_ODI.asp?MatchCode=3624,20
92,Matches/MatchScorecard_ODI.asp?MatchCode=3627,8
93,Matches/MatchScorecard_ODI.asp?MatchCode=3631,20
94,Matches/MatchScorecard_ODI.asp?MatchCode=3658,8
95,Matches/MatchScorecard_ODI.asp?MatchCode=3662,16
104,Matches/MatchScorecard_ODI.asp?MatchCode=3751,8
106,Matches/MatchScorecard_ODI.asp?MatchCode=3770,40
107,Matches/MatchScorecard_ODI.asp?MatchCode=3772,16
