,MATCH_ID,SCORE
1,Matches/MatchScorecard_ODI.asp?MatchCode=2839,8
2,Matches/MatchScorecard_ODI.asp?MatchCode=2841,20
12,Matches/MatchScorecard_ODI.asp?MatchCode=2981,12
13,Matches/MatchScorecard_ODI.asp?MatchCode=2983,16
14,Matches/MatchScorecard_ODI.asp?MatchCode=2984,8
15,Matches/MatchScorecard_ODI.asp?MatchCode=3001,24
17,Matches/MatchScorecard_ODI.asp?MatchCode=3124,20
20,Matches/MatchScorecard_ODI.asp?MatchCode=3165,12
21,Matches/MatchScorecard_ODI.asp?MatchCode=3167,16
29,Matches/MatchScorecard_ODI.asp?MatchCode=3292,8
30,Matches/MatchScorecard_ODI.asp?MatchCode=3293,8
31,Matches/MatchScorecard_ODI.asp?MatchCode=3307,8
36,Matches/MatchScorecard_ODI.asp?MatchCode=3381,20
40,Matches/MatchScorecard_ODI.asp?MatchCode=3500,8
41,Matches/MatchScorecard_ODI.asp?MatchCode=3526,8
42,Matches/MatchScorecard_ODI.asp?MatchCode=3528,8
44,Matches/MatchScorecard_ODI.asp?MatchCode=3554,12
45,Matches/MatchScorecard_ODI.asp?MatchCode=3556,16
46,Matches/MatchScorecard_ODI.asp?MatchCode=3617,28
47,Matches/MatchScorecard_ODI.asp?MatchCode=3635,16
48,Matches/MatchScorecard_ODI.asp?MatchCode=3722,16
50,Matches/MatchScorecard_ODI.asp?MatchCode=3730,32
53,Matches/MatchScorecard_ODI.asp?MatchCode=3763,16
54,Matches/MatchScorecard_ODI.asp?MatchCode=3771,8
55,Matches/MatchScorecard_ODI.asp?MatchCode=3777,8
60,Matches/MatchScorecard_ODI.asp?MatchCode=3839,28
64,Matches/MatchScorecard_ODI.asp?MatchCode=3902,16
69,Matches/MatchScorecard_ODI.asp?MatchCode=3935,8
76,Matches/MatchScorecard_ODI.asp?MatchCode=4009,16
99,Matches/MatchScorecard_ODI.asp?MatchCode=4284,16
102,Matches/MatchScorecard_ODI.asp?MatchCode=4295,16
103,Matches/MatchScorecard_ODI.asp?MatchCode=4299,24
