,MATCH_ID,SCORE
4,Matches/MatchScorecard_ODI.asp?MatchCode=4270,16
11,Matches/MatchScorecard_ODI.asp?MatchCode=4362,8
13,Matches/MatchScorecard_ODI.asp?MatchCode=4387,20
