name,batting_avg,batting_strike_rate,MRA,outrate,BRPI,innings_batted,bowling_avg,bowling_sr,bowling_er,bowling_outrate,maidens,innings_bowled,role
Rohit Sharma  (India).csv-bat,49.92441860465117,0.8874534931789996,0.3087557603686636,0.017775940471269118,21.75115207373272,217,111.75,123.75,5.418181818181819,0.008080808080808079,2.0,38,bat
Jasprit Bumrah  (India).csv-ball,19.0,0.9047619047619048,0.0,0.047619047619047616,0.9333333333333332,15,49.2,53.4,5.52808988764045,0.018726591760299626,2.0,64,ball
Kedar Jadhav  (India).csv-all,43.25806451612904,1.0151400454201362,0.1346153846153846,0.023467070401211203,13.615384615384615,52,51.5,55.5,5.567567567567568,0.01801801801801801,0.0,42,all
Yuzvendra Chahal  (India).csv-ball,9.8,0.6712328767123288,0.0,0.0684931506849315,3.111111111111111,9,35.375,39.3,5.400763358778626,0.025445292620865145,2.0,51,ball
KL Rahul  (India).csv-bat,48.45833333333334,0.8731231231231231,0.3225806451612903,0.01801801801801801,17.483870967741936,31,-1.0,-1.0,-1.0,-1.0,-1.0,0,bat
Virat Kohli  (India).csv-bat,59.37433155080215,0.9295880776959142,0.393305439330544,0.0156563965170797,21.715481171548124,239,144.25,139.8,6.190987124463519,0.007153075822603719,1.0,48,bat
Kuldeep Yadav  (India).csv-ball,14.75,0.6378378378378379,0.0,0.04324324324324325,1.9047619047619049,21,26.80769230769231,30.23076923076923,5.320610687022901,0.03307888040712468,1.0,58,ball
Hardik Pandya  (India).csv-all,32.44827586206897,1.1617283950617283,0.10526315789473684,0.03580246913580247,13.578947368421053,38,45.32352941176471,47.523529411764706,5.722242851838097,0.021042208194083426,4.0,53,all
M S Dhoni  (India  ACC Asian XI).csv-wk,51.0,0.8734497595545432,0.2289562289562289,0.017126465873618494,15.75084175084175,297,-1.0,-1.0,-1.0,-1.0,0.0,2,wk
Rishabh Pant  (India).csv-wk,28.461538461538463,1.0393258426966292,0.07142857142857142,0.03651685393258427,15.714285714285715,14,-1.0,-1.0,-1.0,-1.0,-1.0,0,wk
Mohammed Shami  (India).csv-ball,10.5,0.9130434782608696,0.0,0.08695652173913042,2.2222222222222223,36,29.3469387755102,30.64897959183674,5.745105872952457,0.03262751365028632,11.0,76,ball
Eoin Morgan  (England  Ireland).csv-bat,40.57803468208093,0.9108602569093032,0.2237442922374429,0.022447125989360318,16.977168949771688,219,-1.0,-1.0,-1.0,-1.0,-1.0,0,bat
Mark Wood  (England).csv-ball,14.0,0.9655172413793104,0.0,0.06896551724137931,1.4117647058823528,17,51.5,52.5,5.885714285714287,0.01904761904761905,2.0,50,ball
Jofra Archer  (England).csv-ball,4.333333333333333,0.6190476190476191,0.0,0.14285714285714285,0.5714285714285714,7,28.875,32.25,5.372093023255813,0.03100775193798449,4.0,14,ball
Joe Root  (England).csv-bat,49.98214285714285,0.8723702664796634,0.3138686131386861,0.017453638772011844,15.83941605839416,137,58.17391304347826,59.84347826086957,5.832606800348736,0.016710258645742517,2.0,67,bat
Jos Butler  (England).csv-wk,44.47560975609756,1.199671052631579,0.2307692307692308,0.02697368421052632,17.333333333333332,117,-1.0,-1.0,-1.0,-1.0,-1.0,0,wk
Jason Roy  (England).csv-bat,43.864864864864856,1.0734126984126984,0.27710843373493976,0.02447089947089947,24.024096385542173,83,-1.0,-1.0,-1.0,-1.0,-1.0,0,bat
Jonny Bairstow  (England).csv-bat,48.614035087719294,1.0436911487758946,0.24285714285714285,0.02146892655367232,24.714285714285715,70,-1.0,-1.0,-1.0,-1.0,-1.0,0,bat
Liam Plunkett  (England).csv-ball,22.92857142857143,1.0541871921182266,0.02,0.045977011494252866,6.4,50,28.79746835443038,29.17974683544304,5.921395106715252,0.034270345306264084,11.0,87,ball
Chris Woakes  (England).csv-all,28.13953488372093,0.9118311981914092,0.043478260869565216,0.03240391861341371,6.63768115942029,69,31.511904761904763,35.042857142857144,5.3954341622503055,0.028536485935589075,30.0,97,all
Adil Rashid  (England).csv-ball,20.928571428571427,1.0226876090750436,0.022727272727272728,0.04886561954624782,6.7727272727272725,44,36.18,38.38800000000001,5.654892153798063,0.02604980723142649,2.0,94,ball
Ben Stokes  (England).csv-all,42.065573770491795,0.9430356486585814,0.25925925925925924,0.022418228592429253,16.271604938271604,81,40.13114754098361,39.71803278688525,6.0624071322436865,0.025177480600957567,6.0,80,all
